ax,ay,az,gx,gy,gz
1.2603,-0.0234,-0.6167,-5.5496,10.7405,-1.2977
1.2734,-0.0327,-0.6423,-6.2748,12.4427,-1.6031
1.291,-0.0413,-0.6748,-7.0382,13.7328,-1.5878
1.2979,-0.0381,-0.6743,-7.6489,14.5496,-1.9389
1.3015,-0.0325,-0.6965,-8.3435,14.626,-2.374
1.3069,-0.0249,-0.7019,-9.2901,14.3435,-2.7023
1.3079,-0.0242,-0.7212,-10.4962,13.5649,-3.2061
1.3186,-0.0247,-0.7495,-12.0916,12.1374,-4.1679
1.3191,-0.0215,-0.7729,-14.1069,10.1069,-5.374
1.3196,-0.0229,-0.7822,-16.3969,7.6336,-6.4809
1.3181,-0.012,-0.8115,-19.0229,4.6794,-8.229
1.3242,-0.0049,-0.8398,-22.0153,1.8702,-10.0153
1.3171,-0.002,-0.8755,-25.4198,-0.7252,-11.5267
1.3027,-0.0002,-0.9099,-28.9771,-2.1756,-13.771
1.3142,-0.001,-0.9084,-34.0534,-5.4122,-15.5573
1.3,-0.0122,-0.9111,-38.3893,-10.1145,-17.3588
1.301,0.0095,-0.9292,-42.6718,-13.8626,-18.5496
1.2754,0.0183,-0.9482,-46.8321,-18.9542,-20.3053
1.2778,0.0361,-0.9719,-51.0763,-23.2519,-21.8092
1.2742,0.0332,-0.9695,-55.8092,-26.6794,-23.6336
1.2769,0.0295,-0.9734,-60.1374,-29.9618,-25.2366
1.2791,0.0325,-1.0078,-65.5267,-32.5802,-27.084
1.2778,0.0281,-1.0151,-70.5343,-34.374,-28.8321
1.2715,0.0334,-1.054,-74.9695,-35.7786,-30.3893
1.2634,0.0369,-1.0598,-79.5649,-36.855,-31.8397
1.2463,0.0364,-1.0671,-84.2824,-37.5878,-33.0
1.2383,0.0408,-1.0693,-88.9084,-37.9237,-34.1603
1.2258,0.041,-1.0737,-93.3053,-38.687,-35.1985
1.2236,0.0281,-1.0825,-97.4504,-39.1908,-36.0229
1.2231,0.0173,-1.083,-101.9466,-39.2672,-36.687
1.2083,0.0125,-1.0862,-106.542,-39.084,-37.5191
1.197,0.0046,-1.0928,-110.8702,-38.6107,-38.3053
1.1812,0.0051,-1.0964,-115.1298,-37.6794,-38.5802
1.1697,0.0017,-1.095,-119.3053,-36.8168,-38.8626
1.146,0.0007,-1.0906,-123.313,-35.6489,-39.3053
1.1467,-0.0054,-1.082,-127.145,-34.0763,-38.9466
1.1311,-0.0078,-1.0815,-130.5038,-32.7023,-38.5191
1.1304,-0.0139,-1.0735,-133.5038,-30.7405,-37.7634
1.1211,-0.0332,-1.0793,-136.1679,-27.5114,-36.8626
1.1099,-0.0376,-1.0806,-138.8626,-24.5725,-35.4809
1.1084,-0.0452,-1.0632,-141.3664,-21.9618,-34.6412
1.1001,-0.0444,-1.0569,-143.7557,-18.9924,-33.4962
1.0881,-0.0415,-1.0496,-146.5343,-16.8397,-32.4275
1.0806,-0.0522,-1.0315,-148.8397,-14.5878,-31.5802
1.0818,-0.0552,-1.0359,-151.3664,-12.1145,-30.1603
1.0752,-0.0532,-1.0276,-154.0458,-9.5954,-29.2443
1.0786,-0.0532,-1.0239,-156.8092,-6.7176,-28.687
1.0784,-0.05,-1.0283,-159.374,-4.1221,-27.6641
1.0813,-0.0422,-1.0022,-162.5038,-1.3282,-26.7863
1.0881,-0.0549,-1.0061,-165.8015,1.9237,-26.0611
1.0781,-0.0618,-0.9756,-169.0153,4.5191,-25.4809
1.0876,-0.0601,-0.9607,-172.3435,7.1756,-24.5725
1.1003,-0.0601,-0.9451,-175.9084,10.687,-23.9695
1.1106,-0.0613,-0.9185,-179.5725,14.2977,-23.3206
1.1194,-0.0657,-0.907,-182.855,17.855,-22.8779
1.1436,-0.0747,-0.8743,-186.7863,22.8321,-22.0916
1.1499,-0.0857,-0.8359,-189.6641,27.9542,-21.6183
1.1553,-0.0962,-0.7944,-192.2824,33.8015,-21.3359
1.1653,-0.1182,-0.7673,-194.7176,39.9542,-20.9466
1.1602,-0.1318,-0.7119,-196.542,46.0534,-21.084
1.1646,-0.1462,-0.6694,-197.6947,51.6565,-21.0153
1.1575,-0.1714,-0.6116,-198.8855,56.916,-21.0687
1.1492,-0.1819,-0.5608,-199.3969,60.8931,-21.8015
1.1484,-0.1924,-0.541,-199.8015,64.5878,-22.0153
1.1445,-0.2034,-0.5071,-199.8931,67.2519,-22.3588
1.1167,-0.2219,-0.4531,-199.8779,69.0534,-23.2595
1.1003,-0.2324,-0.4167,-199.5496,70.229,-24.3206
1.0928,-0.2415,-0.3506,-199.4504,69.7405,-25.458
1.0818,-0.2334,-0.3232,-199.0305,67.3664,-26.7863
1.0588,-0.2419,-0.2903,-198.5573,64.4809,-28.313
1.0486,-0.2246,-0.2563,-198.0687,61.084,-29.8321
1.0522,-0.2292,-0.2288,-198.1374,56.8321,-31.5114
1.0479,-0.2136,-0.2129,-198.084,52.0,-32.9008
1.05,-0.2009,-0.217,-198.9313,46.4733,-34.229
1.061,-0.1907,-0.2085,-199.771,41.3893,-35.5115
1.0615,-0.1875,-0.2056,-200.8702,36.7634,-36.9084
1.0686,-0.1877,-0.2209,-202.4657,33.0534,-38.374
1.0732,-0.189,-0.2366,-203.8779,29.6947,-40.1069
1.0859,-0.1882,-0.2417,-205.4809,26.7634,-41.7634
1.0874,-0.1772,-0.2595,-207.458,24.4427,-43.374
1.0928,-0.157,-0.2605,-209.6947,21.8779,-45.145
1.092,-0.1404,-0.2551,-212.3282,20.1298,-46.6641
1.0994,-0.1157,-0.2534,-215.5191,18.4275,-48.5038
1.1021,-0.1042,-0.2524,-218.8855,16.7023,-50.0687
1.1042,-0.0969,-0.2439,-222.6183,15.7939,-51.7023
1.103,-0.0874,-0.2366,-226.1603,14.3893,-53.1832
1.0984,-0.0793,-0.2236,-230.0382,13.2901,-54.6947
1.103,-0.0735,-0.1914,-233.9847,12.3511,-55.8779
1.1023,-0.0605,-0.1641,-238.0458,11.0916,-57.4122
1.1018,-0.0527,-0.1448,-242.1069,10.0763,-58.5267
1.1042,-0.0627,-0.1067,-245.8473,9.0382,-59.542
1.1069,-0.0786,-0.0767,-249.4198,8.7252,-60.626
1.1042,-0.0789,-0.0645,-250.1374,8.8779,-61.5573
1.1021,-0.1062,-0.0261,-250.1374,9.5649,-62.3893
1.0933,-0.1333,0.0229,-250.1374,9.7099,-64.0382
1.095,-0.155,0.0759,-250.1374,10.4351,-65.0687
1.0754,-0.1648,0.1477,-250.1374,11.0687,-66.0153
1.0601,-0.189,0.2051,-250.1374,11.0916,-66.9695
1.0442,-0.2119,0.2632,-250.1374,11.3282,-68.0076
1.0239,-0.2307,0.3376,-250.1374,11.0305,-69.0534
1.0046,-0.2493,0.4021,-250.1374,10.5649,-69.8092
0.9919,-0.2527,0.425,-250.1374,10.5725,-70.5191
0.968,-0.2881,0.488,-250.1374,9.8779,-71.0382
0.9539,-0.3083,0.5647,-250.1374,8.7099,-71.0076
0.9321,-0.3101,0.6411,-250.1374,7.5191,-71.2519
0.9063,-0.2949,0.7073,-250.1374,6.6107,-71.1756
0.8945,-0.2891,0.7644,-250.1374,5.6947,-71.4046
0.8762,-0.2878,0.821,-250.1374,4.7176,-71.4809
