ax,ay,az,gx,gy,gz
1.0503,0.0002,1.0591,46.3206,-31.7023,5.1298
1.0803,-0.0215,1.0837,54.3893,-33.9771,4.0763
1.1094,-0.0427,1.1091,62.6718,-36.1603,2.9618
1.1377,-0.0652,1.1274,71.1527,-37.9084,1.4275
1.166,-0.0928,1.147,79.9389,-39.4427,-0.4962
1.1875,-0.1086,1.1523,88.3359,-40.2214,-2.4504
1.2104,-0.1213,1.1399,97.084,-40.4809,-4.4962
1.2126,-0.1218,1.1343,105.8244,-39.5115,-6.4351
1.2429,-0.1277,1.1169,114.4962,-38.0534,-8.2748
1.2454,-0.1396,1.1011,122.9313,-36.3053,-9.5344
1.2632,-0.1487,1.0854,132.2443,-33.7863,-10.8931
1.2671,-0.1489,1.0625,140.374,-31.2137,-12.1908
1.2729,-0.1553,1.0371,148.4657,-28.0534,-12.9237
1.2661,-0.1519,1.0132,156.2443,-24.8092,-13.6794
1.2651,-0.1609,0.9885,163.9542,-21.2061,-14.4733
1.2656,-0.1594,0.9661,170.458,-17.9924,-15.0
1.2649,-0.1721,0.9434,177.9313,-14.0458,-15.4656
1.2615,-0.189,0.9204,184.6641,-9.916,-15.7863
1.2583,-0.1982,0.9019,190.9389,-5.4733,-16.0229
1.2532,-0.2373,0.8921,196.7939,-1.084,-16.0992
1.2461,-0.2776,0.897,202.7405,2.7634,-16.1603
1.2373,-0.2991,0.9072,209.0076,6.4504,-16.3893
1.2256,-0.3132,0.9236,215.2672,10.0458,-16.2672
1.2151,-0.3359,0.947,222.4122,13.4351,-16.5344
1.2085,-0.3406,0.9558,229.8321,16.3969,-17.0
1.167,-0.3687,0.9539,237.7099,21.9618,-17.0076
1.1948,-0.3975,1.0134,246.1985,27.1298,-16.3969
1.1677,-0.3943,1.0928,250.1298,27.0,-15.626
1.1338,-0.3997,1.1187,250.1298,27.084,-15.1298
1.1218,-0.405,1.1709,250.1298,26.5954,-14.7634
1.0938,-0.4104,1.2336,250.1298,23.7863,-15.4504
1.0803,-0.4368,1.2405,250.1298,20.2672,-16.2443
1.0654,-0.4661,1.2493,250.1298,16.6947,-17.4656
1.0542,-0.5317,1.26,250.1298,12.6641,-19.2443
1.0356,-0.6067,1.2415,250.1298,10.6336,-21.5344
1.0137,-0.6746,1.2239,250.1298,9.4504,-23.8779
0.978,-0.7322,1.1934,250.1298,8.5115,-26.1679
0.9297,-0.7886,1.179,250.1298,7.7863,-28.5191
0.8772,-0.8252,1.1516,250.1298,7.1756,-30.0992
0.8032,-0.8455,1.1128,250.1298,7.229,-30.6489
0.7603,-0.8494,1.093,250.1298,8.3511,-30.3359
0.6953,-0.8674,1.0366,250.1298,9.8702,-28.2672
0.6328,-0.9004,0.989,250.1298,12.4046,-24.6947
0.5693,-0.9336,0.9297,250.1298,15.2519,-19.8397
0.5195,-0.9685,0.8608,250.1298,19.6641,-11.8244
0.4741,-0.9973,0.8049,250.1298,23.6947,-3.6183
0.4309,-1.0283,0.7568,250.1298,27.5191,5.5573
0.3977,-1.051,0.7141,250.1298,31.145,16.3588
0.3779,-1.0823,0.6816,250.1298,34.1527,27.0076
0.363,-1.0967,0.6453,250.1298,37.2061,38.1374
0.365,-1.1206,0.6216,250.1298,39.6794,49.3359
0.3608,-1.1228,0.5688,250.1298,41.626,60.1985
0.3574,-1.1182,0.5544,250.1298,43.2061,70.0
0.3779,-1.1121,0.4895,250.1298,45.2824,80.5802
0.3936,-1.1182,0.438,250.1298,46.0534,89.9389
0.4282,-1.1248,0.3655,250.1298,46.1985,98.3817
0.4595,-1.1372,0.2864,250.1298,46.2672,105.7939
0.5005,-1.1455,0.2241,250.1298,45.5496,112.1145
0.5352,-1.1616,0.1436,250.1298,43.6565,118.0382
0.5637,-1.1873,0.0596,250.1298,41.5954,122.5802
0.5972,-1.2144,-0.0146,250.1298,38.6412,126.0611
0.6072,-1.2141,-0.0486,250.1298,35.2672,128.9695
0.6338,-1.2234,-0.0947,250.1298,30.6565,131.0
0.6567,-1.2163,-0.1384,250.1298,25.2366,132.0153
0.6819,-1.2017,-0.1902,250.1298,18.6565,133.4275
0.7043,-1.1875,-0.2405,250.1298,10.8244,134.1756
0.73,-1.179,-0.2695,250.1298,1.2672,134.7099
0.7664,-1.1714,-0.3455,250.1298,-9.2214,135.2061
0.8059,-1.1626,-0.4307,250.1298,-20.7863,135.4427
0.8252,-1.156,-0.4719,250.1298,-32.7405,135.0458
0.874,-1.1565,-0.5715,250.1298,-45.458,134.3969
0.936,-1.1343,-0.696,250.1298,-56.4351,133.5267
0.9817,-1.1206,-0.8298,250.1298,-66.9466,131.9008
1.0388,-1.0889,-0.9519,250.1298,-76.8702,129.7786
1.0808,-1.0491,-1.0847,250.1298,-85.687,127.6489
1.1306,-1.0188,-1.2227,250.1298,-90.7328,124.3206
1.1577,-0.9702,-1.3618,250.1298,-94.2672,120.4733
1.1777,-0.9438,-1.4092,250.1298,-95.8015,116.6107
1.2078,-0.8799,-1.5229,250.1298,-95.5725,111.9695
1.2205,-0.8074,-1.6348,250.1298,-93.313,107.2977
1.2251,-0.7505,-1.7354,250.1298,-91.5573,102.8092
1.2434,-0.6812,-1.8418,250.1298,-86.2901,98.5191
1.2515,-0.6208,-1.9353,250.1298,-80.1603,94.7634
1.2542,-0.5784,-2.0,250.1298,-72.9084,91.7786
1.2412,-0.5327,-2.0,250.1298,-64.8015,89.3588
1.2231,-0.4949,-2.0,250.1298,-57.4351,87.855
1.2114,-0.4739,-2.0,250.1298,-49.4427,87.1145
1.2019,-0.4377,-2.0,250.1298,-41.1832,87.2748
1.1868,-0.3943,-2.0,250.1298,-33.7634,88.0916
1.1775,-0.3518,-2.0,250.1298,-27.1145,89.3511
1.1697,-0.3389,-2.0,250.1298,-21.3053,91.1374
1.1523,-0.303,-2.0,250.1298,-16.6183,93.1603
1.1436,-0.2678,-2.0,250.1298,-13.4351,95.0305
1.1431,-0.2505,-2.0,250.1298,-11.1527,96.7481
1.135,-0.2373,-2.0,250.1298,-9.8931,98.2137
1.1353,-0.2346,-2.0,250.1298,-9.6183,99.1985
1.1392,-0.2505,-2.0,237.8244,-10.0458,99.687
1.1482,-0.2751,-2.0,222.7176,-10.9389,99.3435
1.1594,-0.2961,-1.9641,205.6336,-11.6412,98.1221
1.1733,-0.3154,-1.9241,192.3893,-12.2061,96.7634
1.187,-0.335,-1.8638,179.9008,-12.8244,95.1756
1.2031,-0.3452,-1.8157,168.1679,-13.313,92.8702
1.2012,-0.3643,-1.7725,157.2672,-13.6718,90.7099
1.2078,-0.394,-1.73,147.0458,-14.2366,88.6031
1.2078,-0.429,-1.6875,137.4198,-14.4122,86.2519
1.2092,-0.4551,-1.6423,128.6641,-14.4733,83.8779
1.2048,-0.4712,-1.6091,119.3359,-14.7328,81.8702
1.2112,-0.4917,-1.5754,111.9237,-14.1527,80.0229
1.2046,-0.5129,-1.5315,104.4046,-13.3969,78.4275
1.2061,-0.5271,-1.5007,96.4046,-12.1603,76.6336
1.2136,-0.5542,-1.4661,89.5038,-10.7634,75.145
1.2075,-0.574,-1.4463,82.7405,-8.8244,73.4809
1.2085,-0.5959,-1.4001,76.3359,-7.1298,71.9847
1.2078,-0.616,-1.387,70.1221,-5.3893,70.4733
1.2046,-0.6372,-1.3552,64.1756,-3.7863,68.855
1.2129,-0.6431,-1.3301,58.5115,-2.3588,67.3053
1.2095,-0.6509,-1.2957,53.0763,-1.1298,65.4351
1.2102,-0.6721,-1.2766,47.8092,-0.4962,63.6718
1.2102,-0.6841,-1.2407,42.9466,-0.1527,61.6183
1.217,-0.6926,-1.2202,38.2366,-0.0458,59.1145
1.2251,-0.6995,-1.1973,33.5802,-0.1374,56.6412
1.2339,-0.7021,-1.1836,29.2137,-0.6718,53.8473
1.2407,-0.7043,-1.1719,24.9542,-0.7939,50.8244
1.2373,-0.7034,-1.1621,20.9542,-0.9924,47.3588
1.2544,-0.7058,-1.1509,16.6947,-0.8779,44.0992
1.2578,-0.7097,-1.1504,12.6565,-0.9924,40.5038
1.2693,-0.7346,-1.1333,8.2366,-1.1756,36.3588
1.2837,-0.752,-1.1499,3.9542,-0.7252,32.6565
1.2817,-0.7646,-1.1514,-0.4885,-0.2061,28.8626
1.2874,-0.7805,-1.1453,-4.9008,0.9084,25.1298
1.2866,-0.782,-1.1421,-9.2214,2.0382,21.2443
1.282,-0.7888,-1.1497,-13.3893,3.3511,17.5344
1.2781,-0.801,-1.1409,-17.4122,4.2519,14.084
1.2727,-0.8152,-1.1243,-21.9466,4.9771,10.6489
1.2769,-0.8159,-1.0974,-26.4351,5.4504,6.8779
1.2737,-0.8125,-1.0889,-30.7176,6.3588,3.8321
1.2683,-0.804,-1.0784,-34.916,7.313,0.7786
1.2573,-0.7874,-1.0554,-38.916,8.5496,-2.2824
1.2483,-0.7886,-1.031,-42.3053,9.8168,-4.9542
1.2334,-0.7852,-1.0122,-45.7023,11.5496,-7.7863
1.23,-0.7776,-1.0049,-49.229,13.2519,-10.7634
1.2258,-0.7798,-0.9824,-52.4046,14.7634,-13.313
1.2119,-0.7842,-0.9688,-55.5725,16.084,-15.9008
1.2004,-0.7808,-0.949,-58.8244,17.1221,-18.4198
1.1819,-0.7756,-0.9353,-61.9695,18.0458,-20.5038
1.1682,-0.7766,-0.9316,-64.8168,19.3282,-22.6031
1.1497,-0.7803,-0.9192,-67.8397,20.6183,-24.4656
1.1401,-0.772,-0.9092,-70.7176,21.6031,-25.8931
1.1335,-0.7661,-0.9038,-73.6183,22.3282,-27.1221
1.1172,-0.7571,-0.8936,-76.6794,22.3282,-28.229
1.1025,-0.7439,-0.8811,-79.9313,21.6641,-29.0229
1.0918,-0.7449,-0.8638,-83.0229,20.2672,-29.2748
1.0879,-0.7373,-0.8591,-87.6794,18.3206,-30.1221
1.0796,-0.7378,-0.8525,-91.3588,16.2366,-30.5496
1.0715,-0.7346,-0.8411,-95.1679,14.2672,-30.4504
1.0713,-0.729,-0.8352,-99.6718,12.771,-30.7328
1.0752,-0.7168,-0.8423,-103.3053,11.6336,-30.4886
1.0867,-0.7114,-0.8442,-107.0916,10.6947,-30.1756
1.0862,-0.6912,-0.8296,-110.7863,9.8626,-30.0
1.0974,-0.676,-0.8401,-114.5573,9.0229,-29.4198
1.1072,-0.6672,-0.8401,-117.9542,8.1374,-28.8702
1.116,-0.6443,-0.8391,-122.2214,7.2519,-28.2595
1.1309,-0.6196,-0.8508,-125.9618,6.0382,-27.9924
1.1489,-0.605,-0.845,-129.9771,5.229,-27.7176
1.1753,-0.5857,-0.865,-134.1298,4.458,-27.7634
1.1926,-0.5742,-0.8728,-138.1908,4.374,-28.1374
1.2195,-0.5569,-0.8665,-142.5725,4.5267,-27.9771
1.2468,-0.5396,-0.8904,-146.8092,5.313,-28.4427
1.2678,-0.5264,-0.8914,-151.2901,6.1908,-29.084
1.2754,-0.5127,-0.9041,-155.6412,7.2061,-30.084
1.2915,-0.4673,-0.9114,-160.2366,8.313,-31.1069
1.3174,-0.45,-0.9331,-164.9542,9.7634,-32.2366
1.3293,-0.4402,-0.9341,-170.0534,11.1145,-33.3969
1.3467,-0.4299,-0.9431,-175.6718,12.2137,-35.1145
1.3699,-0.4128,-0.967,-181.3588,13.8931,-36.4809
1.3833,-0.4001,-0.9797,-186.9771,15.5115,-38.2366
1.3984,-0.3777,-1.0059,-192.9618,17.5802,-40.1145
1.3997,-0.3757,-1.011,-198.7786,19.4733,-42.0076
1.4104,-0.3679,-1.0205,-205.3817,21.1374,-44.1679
1.4194,-0.3657,-1.0422,-211.8397,23.6336,-46.4962
