ax,ay,az,gx,gy,gz
0.885,-0.1167,0.6467,152.4504,-33.4656,7.458
0.8916,-0.1196,0.6409,161.5191,-28.8321,10.5802
0.8945,-0.1387,0.6182,170.0229,-24.8321,13.7863
0.8943,-0.1692,0.5952,176.8168,-21.0458,16.1374
0.8894,-0.1912,0.5916,184.3282,-17.0763,18.5191
0.8896,-0.2212,0.5833,191.1603,-14.0458,20.771
0.8965,-0.2222,0.5505,198.2519,-10.7176,22.8321
0.8767,-0.2207,0.5562,205.1298,-7.8702,24.374
0.8752,-0.2241,0.5381,211.8702,-5.1603,26.0382
0.8582,-0.2461,0.5193,218.4275,-2.7939,27.6794
0.8389,-0.2632,0.5149,224.8855,-0.9542,29.0458
0.8262,-0.2776,0.4897,231.6412,0.8779,30.9008
0.8201,-0.2837,0.4705,237.5802,2.0916,32.7023
0.802,-0.3098,0.4609,244.1069,3.4198,35.084
0.7886,-0.3162,0.4292,249.9924,4.7328,37.5038
0.7715,-0.332,0.4021,250.1298,6.1908,40.229
0.7605,-0.3289,0.3821,250.1298,7.3817,43.8779
0.7605,-0.325,0.3743,250.1298,7.8015,47.5496
0.7632,-0.321,0.3474,250.1298,8.3893,51.6107
0.7705,-0.3279,0.3145,250.1298,8.3511,56.1985
0.7776,-0.3289,0.3003,250.1298,7.6183,60.5115
0.8066,-0.3525,0.2546,250.1298,6.5267,65.458
0.8347,-0.3655,0.1987,250.1298,5.7557,70.1985
0.8777,-0.3896,0.1345,250.1298,4.855,74.0153
0.9219,-0.415,0.0815,250.1298,4.3588,77.0458
0.967,-0.4043,0.0195,250.1298,3.458,79.5649
1.0222,-0.3997,-0.0393,250.1298,2.7176,81.3817
1.0691,-0.4019,-0.1008,250.1298,2.5573,81.9542
1.1069,-0.4028,-0.1619,250.1298,3.0534,81.6947
1.1252,-0.4094,-0.1807,250.1298,3.9542,80.4046
1.1589,-0.4106,-0.2151,250.1298,3.6107,78.3664
1.1746,-0.4233,-0.2292,250.1298,2.4046,75.6031
1.218,-0.4116,-0.2671,250.1298,1.0076,72.6031
1.2236,-0.4019,-0.2739,250.1298,-0.9466,69.3664
1.231,-0.3872,-0.2891,250.1298,-3.9466,65.5115
1.2332,-0.3782,-0.3015,250.1298,-6.7786,61.5115
1.2319,-0.3667,-0.3074,250.1298,-9.3511,57.9008
1.2339,-0.376,-0.3013,250.1298,-12.1374,54.4809
1.241,-0.3977,-0.324,250.1298,-15.1374,51.1908
1.2456,-0.4224,-0.3457,250.1298,-17.3206,48.1069
1.2366,-0.4419,-0.3557,250.1298,-19.1756,45.3893
1.2305,-0.4575,-0.354,250.1298,-20.7252,43.1603
1.2219,-0.4673,-0.3569,250.1298,-21.771,40.9771
1.2188,-0.4656,-0.3552,250.1298,-22.7405,39.2061
1.2063,-0.4746,-0.3516,250.1298,-23.6947,37.6947
1.2063,-0.4756,-0.3552,250.1298,-24.4122,36.5954
1.2021,-0.4819,-0.3425,250.1298,-25.4046,35.1985
1.1934,-0.4944,-0.3452,250.1298,-25.9618,34.2672
1.1907,-0.5115,-0.3545,250.1298,-26.4427,33.4122
1.1899,-0.5295,-0.3599,250.1298,-26.4275,32.5573
1.1787,-0.5413,-0.3892,250.1298,-25.9542,31.5954
1.188,-0.5554,-0.3835,250.1298,-25.7023,30.9313
1.1907,-0.5586,-0.4075,250.1298,-25.6336,30.2519
1.1919,-0.5669,-0.425,250.1298,-25.6183,29.7481
1.1885,-0.5798,-0.4248,250.1298,-25.6183,29.145
1.1785,-0.6123,-0.4541,250.1298,-26.4427,28.374
1.1824,-0.623,-0.4756,250.1298,-26.8092,27.5649
1.1855,-0.6284,-0.4868,250.1298,-27.3435,26.6794
1.1841,-0.6111,-0.5027,250.1298,-27.458,25.855
1.1851,-0.6038,-0.4978,250.1298,-27.1298,24.7176
1.1958,-0.584,-0.4985,250.1298,-26.6031,23.6641
1.1853,-0.5659,-0.52,250.1298,-25.7176,22.229
1.1838,-0.5618,-0.5405,250.1298,-24.3206,21.1756
1.1809,-0.5728,-0.5635,250.1298,-22.8397,20.0305
1.1731,-0.5698,-0.5979,250.1298,-21.2977,19.0229
1.1694,-0.5542,-0.6243,250.1298,-19.4122,18.4275
1.1733,-0.5317,-0.6353,250.1298,-17.9237,18.3053
1.1826,-0.5273,-0.6624,250.1298,-16.0229,18.7786
