ax,ay,az,gx,gy,gz
0.571,0.1724,-0.071,-9.9466,-92.7481,123.2214
0.5889,0.1694,-0.062,-8.8779,-94.9313,127.4733
0.6116,0.1589,-0.0442,-7.7023,-94.5267,131.5802
0.6172,0.1484,-0.0403,-6.7023,-94.1069,135.8473
0.6409,0.1387,-0.0232,-5.6183,-93.7786,139.6488
0.6621,0.1226,-0.0054,-4.374,-93.458,143.4886
0.6755,0.1138,0.0042,-3.0229,-92.8015,147.626
0.697,0.0906,0.0232,-1.4275,-89.0611,150.855
0.7153,0.0752,0.0417,0.2977,-86.4046,154.5802
0.7485,0.0483,0.0718,2.3664,-84.3282,158.3588
0.759,0.0234,0.0811,4.8168,-81.3206,161.5802
0.771,0.0146,0.0957,7.4122,-78.3588,165.374
0.7874,-0.0066,0.1091,10.3511,-75.3435,168.8473
0.8142,-0.0271,0.134,13.7863,-71.9084,171.9008
0.8281,-0.0391,0.1472,17.1832,-68.3435,175.084
0.8435,-0.0603,0.166,21.1374,-64.7023,178.1908
0.8691,-0.0671,0.1826,25.4962,-60.4885,180.9466
0.8748,-0.0928,0.2051,29.6489,-56.8855,183.374
0.8821,-0.1162,0.2231,33.9008,-52.7863,186.0763
0.8945,-0.1533,0.2417,38.4046,-48.9389,188.1221
0.9077,-0.1675,0.2483,43.1145,-45.3435,189.8626
0.9111,-0.1851,0.2703,47.855,-42.0458,191.5343
0.9197,-0.2126,0.2981,52.7481,-39.9771,193.0
0.9351,-0.2268,0.3289,58.0382,-39.0305,194.1679
0.9446,-0.2546,0.366,63.1527,-39.1221,195.5343
0.9578,-0.2766,0.4075,68.4504,-39.6336,196.6412
0.9775,-0.2942,0.4353,74.1908,-40.5649,197.2977
1.001,-0.3376,0.4482,81.0458,-40.9618,198.0992
0.9949,-0.3528,0.4651,86.855,-41.6412,198.8321
1.0193,-0.3689,0.4746,94.1985,-43.0,198.7863
1.0381,-0.3975,0.4966,101.7481,-44.2595,198.4275
1.0415,-0.4141,0.4993,109.6183,-46.0534,197.5802
1.0549,-0.4409,0.5051,118.4046,-47.5267,196.8244
1.0791,-0.4478,0.5178,125.8168,-49.5496,195.5878
1.1013,-0.4558,0.5283,134.3588,-51.8397,194.1298
1.1182,-0.4644,0.5366,143.3282,-54.4809,192.2901
1.1206,-0.4771,0.5425,151.4351,-57.3206,190.3664
1.145,-0.4939,0.5308,160.8168,-60.4656,188.229
1.1709,-0.5078,0.511,169.0076,-63.0153,186.0534
1.2041,-0.5356,0.4939,177.0611,-65.4809,183.6183
1.2385,-0.5486,0.4697,185.2366,-67.4809,181.4504
1.2649,-0.5574,0.4465,192.5725,-68.8931,179.3206
1.2986,-0.5574,0.4187,199.6031,-70.0611,176.6565
1.3303,-0.5596,0.3901,206.4809,-70.9695,174.1908
1.3599,-0.5557,0.3562,212.8626,-71.3588,171.5802
1.3623,-0.561,0.3472,218.4962,-70.5954,168.5267
1.3911,-0.5759,0.3179,223.9084,-69.2366,165.3969
1.4124,-0.5906,0.2712,228.7405,-67.1756,162.2519
1.4316,-0.6052,0.2383,233.2137,-64.5649,158.5343
1.4468,-0.6165,0.2085,237.2824,-61.6031,154.9695
1.459,-0.6416,0.1829,240.8244,-58.9618,151.3588
1.4656,-0.6562,0.167,243.9695,-55.8397,147.855
1.4705,-0.6753,0.1638,246.7481,-53.1908,144.3512
1.4722,-0.6851,0.1724,249.3282,-51.1221,140.9008
1.4775,-0.7124,0.167,250.1298,-49.9695,137.1069
1.4883,-0.7129,0.1663,250.1298,-50.084,133.7252
1.4988,-0.7051,0.1733,250.1298,-50.229,130.6794
1.5127,-0.6938,0.1672,250.1298,-50.2748,128.5038
1.5186,-0.6831,0.1633,250.1298,-50.687,126.2977
1.542,-0.676,0.1377,250.1298,-49.7786,124.2366
1.5684,-0.6821,0.1179,250.1298,-48.4656,122.2443
1.5798,-0.6848,0.1038,250.1298,-46.4275,120.5725
1.6035,-0.6902,0.0713,250.1298,-43.4122,118.6031
1.6357,-0.7075,0.0481,250.1298,-40.2214,116.8015
1.6572,-0.731,0.0205,250.1298,-36.5267,114.6031
1.6914,-0.7371,-0.0203,250.1298,-32.6718,112.3893
1.7302,-0.7522,-0.0498,250.1298,-28.9084,110.1069
1.7517,-0.7659,-0.0549,250.1298,-25.2443,107.3893
1.7947,-0.7676,-0.0759,250.1298,-21.9237,104.9924
1.8301,-0.7734,-0.0928,250.1298,-19.1985,101.3817
1.8503,-0.7759,-0.0886,250.1298,-16.9847,98.4733
1.886,-0.7695,-0.1077,250.1298,-14.8779,94.4122
1.9265,-0.7654,-0.1194,250.1298,-13.4046,89.916
1.9575,-0.7546,-0.1533,250.1298,-12.4275,84.9618
1.9973,-0.752,-0.1677,250.1298,-11.8015,79.1603
1.9999,-0.7537,-0.1929,250.1298,-11.3435,72.5954
1.9999,-0.7468,-0.2324,250.1298,-11.2366,65.3511
1.9999,-0.7549,-0.2649,250.1298,-11.4198,57.4885
1.9999,-0.7593,-0.3032,250.1298,-11.7405,48.6794
1.9999,-0.7673,-0.3167,250.1298,-12.7328,40.0305
1.9999,-0.7708,-0.3391,250.1298,-14.3511,30.4886
1.9999,-0.7771,-0.3665,250.1298,-17.0763,20.7557
1.9999,-0.7849,-0.396,250.1298,-20.3969,10.687
1.9999,-0.7954,-0.4392,250.1298,-24.0687,0.0992
1.9999,-0.7932,-0.4724,250.1298,-27.7099,-10.229
1.9999,-0.7854,-0.501,250.1298,-31.1221,-20.313
1.9999,-0.7866,-0.5281,250.1298,-34.6412,-30.229
1.9999,-0.7834,-0.5566,250.1298,-38.0611,-39.5038
1.9999,-0.7754,-0.5825,250.1298,-42.0229,-50.1756
1.9999,-0.7632,-0.6104,250.1298,-45.5802,-60.4809
1.9999,-0.7573,-0.6292,250.1298,-49.1603,-70.4733
1.9999,-0.7407,-0.6521,250.1298,-52.9237,-80.7557
1.9999,-0.73,-0.6707,250.1298,-56.2672,-91.7786
1.9999,-0.7288,-0.7051,250.1298,-58.9466,-101.3511
1.9999,-0.7227,-0.7229,250.1298,-60.916,-110.8473
1.9999,-0.7263,-0.7361,250.1298,-62.2214,-120.542
1.9999,-0.7227,-0.7473,250.1298,-62.8168,-131.4122
1.9999,-0.7175,-0.7834,250.1298,-63.0,-141.0763
1.9999,-0.7217,-0.7983,250.1298,-62.3435,-150.9771
1.9999,-0.7234,-0.8069,248.1756,-60.8702,-160.145
1.9999,-0.7151,-0.8127,243.229,-59.0916,-169.3664
1.9999,-0.7166,-0.8335,238.1221,-56.5344,-177.9771
1.9999,-0.7163,-0.8298,233.3435,-52.9542,-186.5267
1.9999,-0.7185,-0.8364,228.855,-49.3969,-194.542
1.9999,-0.7224,-0.8284,224.3817,-45.5191,-202.3969
1.9999,-0.728,-0.8201,220.1298,-41.3588,-209.4962
1.9999,-0.7312,-0.8169,216.6488,-37.3282,-216.2519
1.9999,-0.7402,-0.7998,212.771,-33.2901,-222.2977
1.9999,-0.749,-0.7935,208.8626,-28.458,-230.229
1.9999,-0.7661,-0.7849,205.7939,-25.4351,-235.7863
1.9999,-0.7715,-0.7642,203.0763,-22.5649,-241.3588
1.9999,-0.7854,-0.7388,200.8779,-20.1985,-246.0916
1.9753,-0.7942,-0.7239,198.6947,-18.4733,-250.1374
1.9568,-0.7886,-0.7195,197.3435,-17.0534,-250.1374
1.9294,-0.7886,-0.7009,195.8855,-15.9618,-250.1374
1.9031,-0.7847,-0.6887,194.8779,-15.1527,-250.1374
1.8928,-0.7791,-0.678,194.0763,-15.2824,-250.1374
1.8628,-0.7812,-0.675,193.458,-15.8015,-250.1374
1.8398,-0.7739,-0.6553,193.0,-16.3511,-250.1374
1.8188,-0.7781,-0.6687,192.5267,-17.4886,-250.1374
1.7981,-0.7637,-0.6606,191.9924,-18.8244,-250.1374
1.7656,-0.7622,-0.6689,191.2672,-20.084,-250.1374
1.7439,-0.7515,-0.6675,190.3282,-21.7786,-250.1374
1.7178,-0.7356,-0.6667,189.4886,-23.4733,-250.1374
1.6904,-0.7212,-0.6726,188.5725,-24.7939,-250.1374
1.6667,-0.7144,-0.6694,187.3206,-26.4427,-250.1374
1.6387,-0.7068,-0.6785,185.7939,-28.0763,-250.1374
1.6121,-0.688,-0.6858,183.9618,-30.0153,-250.1374
1.5781,-0.6753,-0.6895,182.229,-32.2214,-250.1374
1.5471,-0.6663,-0.6865,179.8779,-35.374,-250.1374
1.5164,-0.6614,-0.6924,177.0992,-39.0,-250.1374
1.4944,-0.6482,-0.6973,174.5114,-42.7863,-250.1374
1.4707,-0.6392,-0.6956,171.229,-47.0992,-250.1374
1.4531,-0.6294,-0.6973,168.2519,-50.855,-250.1374
1.4336,-0.5999,-0.708,164.916,-54.8092,-250.1374
1.4221,-0.5813,-0.708,161.6107,-57.8397,-250.1374
1.4058,-0.5566,-0.729,157.9084,-59.9847,-250.1374
1.3909,-0.5322,-0.7449,154.3893,-61.313,-250.1374
1.3787,-0.5107,-0.7607,150.8015,-62.0076,-250.1374
1.3694,-0.4722,-0.772,147.2137,-61.4809,-250.1374
1.3645,-0.458,-0.7876,143.3359,-60.4885,-250.1374
1.3591,-0.4409,-0.792,139.7863,-58.9466,-250.1374
1.3503,-0.4148,-0.8079,136.0076,-56.7023,-250.1374
1.3452,-0.3967,-0.814,132.3817,-54.2901,-250.1374
1.3379,-0.364,-0.8252,128.1145,-51.3588,-250.1374
1.3271,-0.353,-0.8401,124.0687,-48.0687,-250.1374
1.3188,-0.3311,-0.8503,119.0382,-44.9084,-250.1374
1.3091,-0.3083,-0.8713,116.5954,-41.1832,-250.1374
1.3003,-0.293,-0.8867,113.7481,-36.9237,-250.1374
1.2891,-0.2759,-0.9092,109.2061,-32.5725,-250.1374
1.291,-0.2683,-0.9219,105.3282,-27.4504,-250.1374
1.2688,-0.2476,-0.9277,101.3359,-22.4656,-250.1374
1.2419,-0.2327,-0.9355,96.9237,-17.2901,-250.1374
1.2214,-0.2136,-0.9438,92.6718,-12.0382,-250.1374
1.1938,-0.2024,-0.9473,88.626,-7.1985,-250.1374
1.1614,-0.1753,-0.9536,84.4275,-2.6336,-250.1374
1.1182,-0.1624,-0.9446,80.4351,1.3588,-250.1374
1.0801,-0.1479,-0.9456,76.2824,4.9542,-250.1374
1.0535,-0.1467,-0.9524,72.3282,8.145,-250.1374
1.0181,-0.1379,-0.957,68.2595,11.1527,-250.1374
0.9729,-0.1248,-0.9578,63.6718,13.7634,-250.1374
0.9204,-0.124,-0.9614,59.4885,15.6412,-250.1374
0.8755,-0.123,-0.9526,53.8168,16.8931,-250.1374
0.8318,-0.1169,-0.9478,48.4809,17.3893,-250.1374
0.7927,-0.1155,-0.9309,43.2443,16.6107,-250.1374
0.7449,-0.1055,-0.9143,38.1145,15.374,-250.1374
0.718,-0.1001,-0.8992,33.3053,13.2595,-250.1374
0.6863,-0.0906,-0.8772,28.4809,10.9389,-250.1374
0.6433,-0.0669,-0.8704,24.1145,8.3435,-250.1374
0.625,-0.0461,-0.8604,20.1756,5.5191,-250.1374
0.6111,-0.0303,-0.8501,16.6183,2.1985,-250.1374
0.5854,-0.0066,-0.834,13.3435,-1.1374,-250.1374
0.5713,0.0095,-0.8081,10.5344,-5.3359,-250.1374
0.5474,0.0286,-0.7847,7.8626,-11.0153,-250.1374
0.5386,0.0527,-0.7537,4.9008,-17.5649,-250.1374
0.5308,0.0679,-0.7295,2.2519,-25.1374,-250.1374
0.5149,0.0908,-0.7002,-0.3435,-33.5344,-250.1374
0.5251,0.105,-0.6812,-2.4809,-42.4504,-250.1374
0.5195,0.1152,-0.6694,-4.7405,-51.3969,-250.1374
0.5244,0.1333,-0.666,-6.9695,-62.1985,-250.1374
0.5374,0.1562,-0.6697,-9.145,-71.4122,-250.1374
0.5383,0.1716,-0.679,-10.9084,-81.0916,-250.1374
0.5505,0.1914,-0.6882,-12.7176,-90.6718,-250.1374
0.5652,0.2168,-0.6958,-14.7863,-99.5038,-249.8779
0.5708,0.2273,-0.7078,-16.8473,-108.6183,-248.6794
0.582,0.2385,-0.7119,-19.145,-118.6489,-247.7786
0.585,0.2378,-0.7251,-21.9771,-127.6031,-247.2748
0.5872,0.24,-0.7273,-24.8779,-136.5038,-247.5954
0.5869,0.2454,-0.7419,-28.2214,-145.2748,-248.4122
0.5837,0.2495,-0.749,-32.2214,-153.4046,-248.5954
0.5771,0.2498,-0.7517,-36.1298,-161.0534,-249.374
0.5691,0.2573,-0.7644,-39.9542,-168.7405,-250.1374
0.5588,0.2725,-0.7542,-44.4275,-176.4122,-250.1374
0.5491,0.2834,-0.7498,-48.6641,-184.0076,-250.1374
0.542,0.2932,-0.7419,-52.9542,-191.5802,-250.1374
0.543,0.3052,-0.7388,-56.8168,-199.0382,-250.1374
0.5334,0.3225,-0.7251,-60.9008,-206.5191,-250.1374
0.5366,0.3403,-0.7197,-64.7099,-213.3435,-250.1374
0.5415,0.3621,-0.7231,-68.0763,-219.8473,-250.1374
0.5554,0.3757,-0.7427,-71.0687,-225.0534,-249.1832
0.5566,0.3879,-0.7556,-73.771,-229.1832,-247.5114
0.5732,0.386,-0.7795,-76.6565,-232.8931,-245.5725
0.5806,0.3799,-0.803,-79.0305,-235.3282,-243.4122
0.5886,0.3696,-0.8215,-80.8931,-236.7023,-241.5343
0.5906,0.3545,-0.8372,-83.3588,-237.9237,-239.3053
0.606,0.3315,-0.8574,-85.7786,-238.2977,-237.2366
0.6062,0.3015,-0.877,-88.374,-238.2137,-235.5649
0.6099,0.2678,-0.906,-91.0687,-237.9771,-233.1908
0.6179,0.2351,-0.9307,-93.9466,-237.3282,-231.5267
0.6169,0.2087,-0.9448,-97.084,-236.7176,-229.2824
0.6213,0.1909,-0.9475,-100.4809,-236.3206,-227.1069
0.6296,0.1863,-0.9619,-104.1527,-236.2672,-225.2137
0.6392,0.1709,-0.9785,-108.3282,-236.313,-222.9771
0.6406,0.1624,-0.9727,-112.2595,-236.5191,-220.6183
0.6448,0.1604,-0.9749,-116.3435,-236.7099,-218.6031
0.6592,0.1641,-0.9719,-120.6107,-236.6947,-216.4733
0.6572,0.1753,-0.9612,-124.626,-236.626,-214.7405
0.6592,0.1943,-0.9705,-129.3359,-236.4198,-213.1374
0.6592,0.2043,-0.9609,-133.8626,-235.6947,-211.626
0.6553,0.218,-0.9585,-137.9847,-234.3664,-211.0305
0.6548,0.2139,-0.9363,-141.7023,-233.3664,-210.7557
0.6472,0.2148,-0.9285,-145.0382,-232.145,-210.4275
0.6335,0.2156,-0.9114,-148.4351,-231.2672,-210.6794
0.6189,0.2002,-0.8899,-151.3969,-230.7634,-211.3282
0.6162,0.1953,-0.8635,-154.2061,-231.5954,-211.9084
0.5977,0.1826,-0.8223,-156.6641,-232.855,-212.8626
0.5835,0.1907,-0.801,-158.4657,-234.7634,-213.9389
0.5642,0.1768,-0.7786,-160.229,-236.9084,-214.9771
0.5334,0.1826,-0.7568,-161.3359,-239.2366,-216.3359
0.5117,0.1851,-0.7317,-161.9084,-241.5343,-217.771
0.4866,0.189,-0.7141,-162.0687,-243.0916,-219.0153
0.4624,0.2031,-0.6899,-161.5802,-244.4046,-220.5649
0.4404,0.2109,-0.6606,-160.7557,-245.6794,-221.6794
0.426,0.2212,-0.6433,-159.6183,-247.3359,-222.5954
0.4109,0.2236,-0.6318,-158.1679,-248.8626,-223.2443
0.3972,0.2307,-0.6106,-156.084,-250.1374,-223.6031
0.395,0.2402,-0.5935,-153.9084,-250.1374,-223.1374
0.3867,0.239,-0.5889,-151.3435,-250.1374,-222.458
0.3799,0.2371,-0.5964,-148.6718,-250.1374,-221.5802
0.3774,0.2375,-0.623,-146.1374,-250.1374,-220.2977
0.374,0.2383,-0.6392,-143.5191,-250.1374,-218.8015
0.3721,0.2583,-0.6772,-141.4886,-250.1374,-217.7328
0.3708,0.2671,-0.7112,-139.5649,-250.1374,-216.3053
0.3601,0.2908,-0.7515,-137.9695,-250.1374,-215.5343
0.3562,0.2993,-0.7698,-137.1145,-250.1374,-214.6794
0.3501,0.3193,-0.8101,-136.9389,-250.1374,-213.9466
0.3457,0.3391,-0.8447,-137.0992,-250.1374,-212.8015
0.3306,0.3618,-0.8955,-137.9618,-250.1374,-211.9618
0.3296,0.3948,-0.9329,-139.4504,-250.1374,-211.1374
0.3176,0.4163,-0.9561,-141.313,-250.1374,-209.8168
0.3057,0.4299,-0.9934,-143.6488,-250.1374,-208.145
0.2917,0.4429,-1.0205,-146.6794,-250.1374,-206.8473
0.2781,0.4453,-1.0247,-150.0229,-246.855,-204.9695
0.262,0.4553,-1.0488,-153.9313,-239.6107,-202.8855
0.2373,0.4551,-1.0544,-158.2977,-231.145,-200.7023
0.2151,0.4604,-1.0684,-162.8473,-222.9542,-198.3664
0.1987,0.4517,-1.0564,-167.687,-214.5954,-195.6565
0.1848,0.4346,-1.05,-172.5343,-206.6718,-192.4122
0.1638,0.4165,-1.0408,-177.8626,-199.0534,-188.9771
0.1396,0.3926,-1.051,-182.9924,-191.5191,-184.5114
0.1235,0.3801,-1.0286,-188.0153,-184.6336,-180.3664
0.1025,0.3474,-1.0076,-193.6718,-176.6031,-174.9008
0.0811,0.3108,-0.9929,-198.9618,-168.9847,-169.4886
0.0613,0.2859,-0.969,-204.4122,-161.3282,-163.8626
0.0371,0.2759,-0.9346,-209.1145,-153.8702,-157.855
0.0198,0.2932,-0.9028,-213.3053,-146.4657,-151.5954
-0.0107,0.3198,-0.8574,-216.9542,-139.1527,-144.916
-0.0215,0.3401,-0.8101,-219.7328,-132.3053,-138.1527
-0.0437,0.3501,-0.7578,-221.7863,-125.9847,-131.4198
-0.0591,0.3567,-0.7473,-222.916,-120.1908,-124.6412
-0.0781,0.3623,-0.698,-223.6947,-115.0229,-117.4657
-0.1067,0.3601,-0.6543,-223.7786,-109.7557,-109.9389
-0.1174,0.3638,-0.6216,-223.3817,-105.374,-103.0992
-0.1272,0.3584,-0.5977,-222.4962,-101.8626,-96.8855
-0.1313,0.3577,-0.5872,-221.229,-98.8626,-92.2214
-0.1382,0.3618,-0.5522,-219.4351,-94.4809,-85.1603
-0.1411,0.3611,-0.5352,-217.4046,-92.9466,-79.4733
-0.1541,0.3628,-0.4995,-215.1527,-93.8168,-73.8244
-0.1606,0.3628,-0.4668,-212.7939,-94.7023,-68.2901
-0.1677,0.3623,-0.4453,-210.229,-95.5496,-63.1603
-0.1709,0.364,-0.4207,-207.5649,-100.7863,-58.0916
-0.1799,0.3669,-0.3975,-205.1145,-104.7863,-53.4809
-0.1831,0.3743,-0.3926,-202.4198,-109.0611,-49.8779
-0.1963,0.3926,-0.3779,-200.229,-114.6031,-46.3511
-0.1995,0.4014,-0.3513,-197.4962,-119.2824,-43.3588
-0.2085,0.416,-0.3323,-195.8168,-124.916,-41.1298
-0.2078,0.4309,-0.3157,-193.9466,-129.8931,-39.4504
-0.2166,0.4451,-0.2979,-192.1145,-134.8397,-37.771
-0.2151,0.4722,-0.2742,-190.5114,-139.9008,-36.9695
-0.2048,0.4731,-0.272,-188.6107,-145.4886,-35.6794
-0.2004,0.489,-0.2468,-187.0382,-151.4275,-35.0076
-0.1948,0.4888,-0.2295,-185.4657,-157.6031,-34.3969
-0.1956,0.4944,-0.2192,-183.3512,-163.8321,-33.8931
