ax,ay,az,gx,gy,gz
0.7708,-0.0615,0.8357,48.0,-0.0687,146.1374
0.8174,-0.0889,0.8464,54.0076,-4.2824,147.0458
0.8511,-0.1155,0.8694,60.0916,-9.4504,147.0611
0.9023,-0.1348,0.8594,66.1603,-14.3282,146.5573
0.9512,-0.1523,0.8362,72.2901,-19.374,145.7099
0.9883,-0.1685,0.8171,78.5725,-24.2595,144.9466
1.0378,-0.1763,0.7969,84.4733,-28.3435,143.6565
1.0825,-0.1836,0.7578,90.3511,-31.7405,141.9542
1.1006,-0.1768,0.7434,95.6489,-34.5496,139.9771
1.1462,-0.1682,0.7097,100.6336,-36.3359,138.6336
1.1875,-0.155,0.6738,105.4046,-38.1527,136.7634
1.2234,-0.1414,0.6401,109.3893,-39.1679,135.626
1.2625,-0.1274,0.6042,113.0687,-39.7099,134.5954
1.2935,-0.1165,0.5527,116.2901,-39.771,133.5496
1.3298,-0.1189,0.532,118.5954,-39.7863,132.9237
1.3618,-0.1233,0.4866,121.1679,-38.916,132.6183
1.3772,-0.1228,0.4661,122.8015,-37.7176,132.0763
1.4167,-0.1265,0.4231,125.2824,-36.4733,131.7863
1.4419,-0.1169,0.4011,126.6947,-34.9313,131.916
1.4836,-0.1111,0.3765,127.9695,-33.1145,131.9084
1.521,-0.0981,0.3599,129.1908,-30.9389,131.8321
1.5591,-0.0854,0.345,130.0305,-28.6183,131.7863
1.6021,-0.0986,0.3437,130.2366,-26.6489,131.6412
1.646,-0.1035,0.3257,130.7252,-24.5802,131.145
1.666,-0.1255,0.3208,130.8092,-22.4427,130.4275
1.7,-0.1238,0.312,130.8321,-20.5573,129.229
1.7332,-0.1221,0.3086,130.8473,-18.9924,127.7023
1.7649,-0.1267,0.3289,131.0534,-18.5191,126.2214
1.8108,-0.1292,0.3623,131.3512,-19.1374,124.2137
1.8464,-0.1458,0.3586,131.7252,-20.4351,121.771
1.884,-0.1621,0.3589,132.3206,-22.1145,119.3359
1.9309,-0.1794,0.365,133.3053,-24.4122,116.626
1.9797,-0.2046,0.3447,134.3435,-26.771,113.5496
1.9999,-0.218,0.3538,135.4504,-29.4962,110.313
1.9999,-0.2327,0.3142,136.9924,-32.3053,106.8702
1.9999,-0.2468,0.3076,138.1756,-35.0916,102.0992
1.9999,-0.2517,0.2998,139.374,-37.4962,98.0305
1.9999,-0.2625,0.2864,140.1985,-40.0305,93.0305
1.9999,-0.2798,0.2642,140.8931,-42.5115,87.1908
1.9999,-0.2859,0.2429,141.626,-45.2061,81.5038
1.9999,-0.2947,0.2261,142.0687,-47.7557,75.6565
1.9999,-0.2869,0.2229,142.1679,-50.4122,69.2061
1.9999,-0.2771,0.208,142.3435,-52.5344,63.0382
1.9999,-0.2808,0.1982,142.3664,-54.7557,56.7405
1.9999,-0.2869,0.1934,142.6412,-56.7405,50.4122
1.9999,-0.2949,0.1917,143.0611,-58.4809,44.5573
1.9999,-0.3079,0.1648,143.916,-59.5115,38.084
1.9999,-0.3274,0.147,145.2137,-60.3359,31.855
1.9999,-0.342,0.1235,146.5725,-60.5878,25.6107
1.9999,-0.3579,0.0964,148.3893,-60.4962,19.458
1.9999,-0.373,0.0798,150.4351,-59.6183,12.9542
1.9999,-0.3804,0.0461,152.6641,-58.7939,6.7099
1.9999,-0.3811,0.0278,154.855,-57.5573,0.5115
1.9999,-0.3804,0.0229,157.2901,-55.5649,-5.3435
1.9999,-0.3694,-0.0156,159.7023,-53.5878,-11.3664
1.9999,-0.3579,-0.0437,161.5725,-51.7481,-16.8473
1.9999,-0.356,-0.0623,163.1908,-50.2519,-21.7481
1.9999,-0.3359,-0.0864,164.7099,-49.1069,-26.1145
1.9999,-0.3357,-0.1084,166.0305,-48.4809,-30.3206
