ax,ay,az,gx,gy,gz
1.4097,-0.2637,-0.3442,-34.687,10.3053,52.4275
1.4485,-0.2515,-0.353,-33.8015,11.0763,51.1832
1.4851,-0.241,-0.3657,-32.5038,11.687,50.0382
1.53,-0.2505,-0.3889,-31.3435,12.6794,48.6336
1.5735,-0.2473,-0.4177,-30.1985,13.9847,47.1221
1.5942,-0.2517,-0.439,-29.3893,16.3282,45.687
1.6526,-0.2485,-0.468,-28.6947,18.7176,43.7939
1.6853,-0.2466,-0.4878,-28.8244,21.4198,41.8168
1.7197,-0.2339,-0.5195,-29.3053,24.4427,39.374
1.7581,-0.2166,-0.5415,-30.1145,27.687,36.4198
1.7893,-0.2048,-0.5632,-31.4275,31.145,33.5496
1.8259,-0.2078,-0.5845,-34.0076,36.2748,28.7405
1.8682,-0.2029,-0.5937,-36.7557,40.2672,25.0076
1.8887,-0.2004,-0.6064,-39.4504,44.3969,20.6718
1.9028,-0.1777,-0.615,-42.5649,48.0763,16.4809
1.926,-0.1633,-0.6101,-45.4275,51.5573,11.9466
1.9316,-0.1528,-0.6062,-48.4809,54.6565,6.9771
1.9395,-0.1543,-0.6021,-52.0076,57.4885,1.7176
1.9373,-0.1526,-0.6072,-55.8626,60.2366,-3.5267
1.936,-0.158,-0.6101,-59.3664,62.3817,-8.313
1.9421,-0.1624,-0.6001,-63.7176,65.4809,-14.0534
1.9285,-0.1611,-0.5833,-67.2977,67.7252,-18.9542
1.9026,-0.1602,-0.5654,-70.855,69.7099,-24.0763
1.8894,-0.1565,-0.5308,-74.4657,71.2824,-28.7405
1.8745,-0.1575,-0.5212,-77.8855,72.2137,-33.0763
1.8506,-0.1577,-0.4822,-81.0382,72.6794,-36.9542
1.8318,-0.156,-0.4668,-83.8473,72.8702,-40.8855
1.8071,-0.1572,-0.439,-86.7328,72.1832,-44.2519
1.8008,-0.1567,-0.4238,-89.2519,71.3969,-46.8702
1.8,-0.1492,-0.4128,-92.4809,70.1298,-50.0305
1.7974,-0.1519,-0.3984,-95.3359,68.3817,-52.4733
1.8113,-0.145,-0.3938,-98.0687,66.4427,-55.4275
1.8323,-0.1404,-0.3987,-101.4504,64.5802,-58.2443
1.8545,-0.1245,-0.3928,-104.9084,62.0,-61.0992
1.8889,-0.115,-0.3865,-108.9008,59.5115,-64.1145
1.9126,-0.1179,-0.3838,-113.2672,56.7252,-68.4427
1.9575,-0.1113,-0.3818,-118.1069,54.5878,-73.3664
1.9634,-0.1125,-0.3853,-123.3435,52.7099,-79.7328
1.9866,-0.1169,-0.3848,-128.8244,50.9313,-86.8168
1.9999,-0.1301,-0.3784,-134.3664,48.9008,-94.9695
1.9999,-0.1326,-0.3833,-140.458,47.1527,-102.8702
1.9999,-0.1367,-0.365,-146.687,45.0916,-112.2137
1.9999,-0.1404,-0.3562,-152.916,42.6031,-121.0687
1.9973,-0.1436,-0.3396,-159.3282,39.7863,-129.6641
1.9792,-0.1448,-0.3101,-165.7405,35.916,-137.6947
1.9729,-0.1431,-0.3008,-172.1985,31.0153,-145.2977
1.9526,-0.1536,-0.2896,-178.6336,25.4046,-151.8397
1.9324,-0.1472,-0.2466,-185.229,19.0763,-158.3435
1.918,-0.1426,-0.218,-191.9389,12.1374,-164.2748
1.8889,-0.1448,-0.1855,-198.5114,5.0763,-169.7481
1.8938,-0.1531,-0.1343,-204.8931,-2.0153,-175.2366
1.8782,-0.1794,-0.1045,-211.3588,-10.0076,-180.3969
1.8806,-0.2041,-0.0759,-217.6183,-17.5267,-185.3512
1.8821,-0.2124,-0.0574,-223.6183,-24.8092,-190.2824
1.896,-0.231,-0.0029,-229.5573,-32.5878,-195.6641
1.9155,-0.2505,0.0496,-234.5954,-39.6718,-200.9924
1.9399,-0.2634,0.0986,-239.4809,-46.8244,-206.0076
1.9763,-0.2771,0.1555,-243.5496,-53.7939,-211.5954
1.9999,-0.2964,0.2192,-246.8855,-59.9695,-217.0687
1.9999,-0.312,0.2554,-249.6641,-65.7252,-223.1145
1.9999,-0.3381,0.3018,-250.1374,-69.6336,-229.4657
1.9999,-0.3496,0.3179,-250.1374,-72.3053,-235.5114
1.9999,-0.3867,0.3621,-250.1374,-74.229,-243.0992
1.9999,-0.4211,0.3904,-250.1374,-74.0916,-250.1374
1.9999,-0.4631,0.4214,-250.1374,-73.2061,-250.1374
1.9999,-0.4897,0.4478,-250.1374,-71.2595,-250.1374
1.9999,-0.511,0.4875,-250.1374,-68.0382,-250.1374
1.9999,-0.5315,0.5042,-250.1374,-63.855,-250.1374
1.9999,-0.5603,0.5134,-247.9237,-58.4809,-250.1374
1.9999,-0.593,0.5146,-244.7634,-51.7863,-250.1374
1.9999,-0.5991,0.5032,-241.3053,-43.2214,-250.1374
1.9999,-0.6099,0.4995,-237.4351,-33.2061,-250.1374
1.9999,-0.6199,0.4978,-233.4046,-22.5878,-250.1374
1.9999,-0.6409,0.4895,-228.7939,-11.5191,-250.1374
1.9999,-0.665,0.4744,-224.2824,0.1756,-250.1374
1.9999,-0.6875,0.4802,-219.8321,11.3588,-250.1374
1.9999,-0.7031,0.469,-215.6336,22.5267,-250.1374
1.9999,-0.7185,0.4839,-211.7176,32.8779,-250.1374
1.9999,-0.7266,0.4917,-207.916,42.6412,-250.1374
1.9999,-0.7302,0.5129,-204.4122,51.8397,-250.1374
1.9999,-0.7222,0.5432,-201.6565,59.5267,-250.1374
1.9999,-0.7256,0.5864,-198.8244,65.4657,-250.1374
1.9617,-0.7207,0.6436,-196.1756,69.6336,-250.1374
1.8628,-0.7234,0.6921,-192.626,72.6183,-250.1374
1.7358,-0.7351,0.7861,-189.0458,73.626,-250.1374
1.6855,-0.7336,0.8164,-186.2519,72.8931,-250.1374
1.6016,-0.7297,0.8787,-182.3817,70.7939,-250.1374
1.5237,-0.7241,0.9312,-178.3512,67.5573,-250.1374
1.4604,-0.6973,0.9866,-173.7786,63.4656,-250.1374
1.4045,-0.6633,1.0469,-168.4198,58.7786,-250.1374
1.3804,-0.6479,1.0486,-161.9847,54.4046,-250.1374
1.3435,-0.6431,1.0884,-154.5114,49.1603,-250.1374
1.3308,-0.636,1.1152,-147.1603,44.0687,-250.1374
1.3152,-0.6436,1.1365,-140.1985,40.2061,-250.1374
1.3027,-0.6475,1.1558,-132.9618,36.6565,-250.1374
1.3081,-0.6653,1.1643,-125.8244,34.374,-250.1374
1.3098,-0.6504,1.1699,-118.626,33.3511,-250.1374
1.3298,-0.6411,1.1768,-110.8397,33.7481,-250.1374
1.3438,-0.6257,1.1719,-103.3969,34.9618,-250.1374
1.365,-0.6099,1.1797,-95.5115,37.3664,-250.1374
1.3782,-0.5833,1.1768,-87.8397,40.9389,-250.1374
1.3948,-0.5642,1.1873,-79.8931,44.687,-250.1374
1.3936,-0.5588,1.1895,-71.8473,49.1374,-250.1374
1.3909,-0.5474,1.1948,-63.8015,54.0687,-250.1374
1.3872,-0.5386,1.2007,-55.4427,58.4809,-250.1374
1.3748,-0.5244,1.1995,-47.229,62.7328,-250.1374
1.3589,-0.5229,1.1965,-38.5878,66.7557,-250.1374
1.3374,-0.5122,1.1968,-30.6489,70.4733,-250.1374
1.3091,-0.4963,1.2043,-22.8244,73.3511,-250.1374
1.2729,-0.4839,1.1855,-15.0534,75.6641,-250.1374
1.2527,-0.4836,1.1807,-8.0992,77.5496,-250.1374
1.2109,-0.4722,1.1829,-0.1221,78.626,-250.1374
1.1692,-0.4583,1.1831,7.0153,79.2366,-250.1374
1.1226,-0.4365,1.1777,13.5344,79.9618,-250.1374
1.0769,-0.4292,1.1563,20.0534,80.145,-250.1374
1.0313,-0.4126,1.1357,26.1756,80.3664,-250.1374
0.9878,-0.4131,1.1165,32.3511,80.0687,-250.1374
0.9526,-0.3904,1.0864,38.5725,79.9237,-250.1374
0.926,-0.3877,1.0723,44.1221,79.6718,-250.1374
0.8699,-0.3628,1.0205,52.5496,78.7252,-250.1374
0.8372,-0.3457,0.9854,58.3664,78.7023,-250.1374
0.791,-0.3247,0.9622,64.1374,78.9466,-250.1374
0.7595,-0.2957,0.9302,69.6107,79.542,-250.1374
0.74,-0.2808,0.9131,74.7863,80.1985,-250.1374
0.7056,-0.2456,0.8843,79.5191,81.0992,-250.1374
0.6709,-0.2173,0.8701,84.0305,81.8855,-250.1374
0.6365,-0.178,0.842,88.0916,83.1069,-250.1374
0.6055,-0.1492,0.8252,92.0763,83.9008,-250.1374
0.5833,-0.1279,0.8005,95.6031,84.7023,-250.1374
0.5588,-0.1079,0.7764,98.7939,85.6107,-250.1374
0.5364,-0.0835,0.7429,101.6412,86.6947,-250.1374
0.5188,-0.0674,0.707,104.3206,87.5878,-250.1374
0.5205,-0.0642,0.6909,106.5496,89.313,-250.1374
0.5005,-0.0554,0.6658,108.7405,91.4962,-250.1374
0.4846,-0.0405,0.6462,110.9084,93.6718,-250.1374
0.468,-0.0298,0.6167,112.5496,95.7176,-250.1374
0.4553,-0.0173,0.5901,114.3206,98.145,-250.1374
0.4417,-0.0066,0.5876,116.4198,100.6947,-250.1374
0.4241,-0.0032,0.5823,116.8244,102.6794,-250.1374
0.4148,0.0042,0.552,119.6641,105.0153,-250.1374
0.4087,0.0139,0.5583,121.145,107.2137,-250.1374
0.3962,0.0149,0.533,122.084,110.4122,-250.1374
0.3865,0.0132,0.5193,126.0534,113.6336,-250.1374
0.3721,0.0017,0.5024,128.4351,117.1069,-250.1374
0.3528,-0.0081,0.4888,130.9695,120.5343,-250.1374
0.3323,0.001,0.4875,133.3512,124.1069,-250.1374
0.3059,0.0037,0.4814,136.3588,127.4122,-250.1374
0.2783,0.0044,0.4797,138.9008,130.8015,-250.1374
0.2512,0.0059,0.4829,141.6718,134.0687,-250.1374
0.2361,0.0012,0.48,144.7939,136.8931,-250.1374
0.2068,0.0042,0.491,147.8397,139.4657,-250.1374
0.1748,0.0022,0.4912,150.9466,141.7328,-250.1374
0.1497,0.0017,0.4988,154.2977,143.6107,-250.1374
