ax,ay,az,gx,gy,gz
1.2175,-0.2458,0.4819,117.6336,-62.4427,79.4275
1.2283,-0.2532,0.4722,121.1908,-62.3511,79.1374
1.2458,-0.2593,0.46,122.7176,-62.0229,78.771
1.2634,-0.261,0.4387,124.0076,-61.6336,78.8244
1.2695,-0.2725,0.4363,128.145,-61.6565,78.6641
1.2815,-0.291,0.426,130.1298,-61.4275,78.3511
1.2886,-0.2998,0.4185,132.2443,-60.8321,78.2214
1.3018,-0.3127,0.4021,134.2519,-60.4809,77.9313
1.3142,-0.3245,0.3967,136.7176,-59.9008,77.2672
1.3188,-0.334,0.3884,138.7481,-59.5649,76.6641
1.321,-0.345,0.3877,140.7405,-59.2672,76.1374
1.325,-0.3506,0.3721,143.1985,-59.2901,75.2748
1.3364,-0.3601,0.3772,145.4198,-59.7557,74.2748
1.3362,-0.3621,0.3804,147.5191,-60.4656,73.3206
1.3452,-0.3738,0.3691,149.6412,-61.5267,72.0611
1.3508,-0.3789,0.376,151.9389,-62.6107,70.9389
1.3584,-0.394,0.3696,154.3969,-64.0458,69.7328
1.3672,-0.4048,0.3557,156.1527,-65.9695,68.3893
1.3818,-0.4065,0.3528,158.3435,-67.7557,66.4809
1.3914,-0.406,0.334,160.2214,-69.8702,65.2595
1.4109,-0.4116,0.3164,162.5573,-71.7405,63.9389
1.4172,-0.417,0.3127,164.5267,-74.0229,62.2672
1.4463,-0.4136,0.2993,165.9695,-76.0687,61.0153
1.4727,-0.4106,0.2791,168.0382,-78.0916,59.5878
1.5054,-0.4116,0.2603,169.5114,-79.8931,57.4809
1.5408,-0.4133,0.231,170.7023,-80.9618,55.5878
1.5815,-0.4165,0.1941,172.0,-81.3664,53.2977
1.6201,-0.4175,0.1638,172.9237,-80.9771,50.7786
1.6565,-0.4187,0.1316,173.2214,-79.8473,48.0
1.676,-0.4231,0.115,173.9084,-77.7786,45.0763
1.6985,-0.4231,0.0857,174.4962,-74.8092,41.7023
1.7285,-0.4302,0.0591,174.5038,-71.4657,37.6565
1.7649,-0.4277,0.0322,174.6412,-67.7634,33.8855
1.7742,-0.4229,0.0146,174.6718,-64.0153,29.8092
1.7854,-0.4314,0.0051,174.2672,-60.3969,25.3053
1.8022,-0.4329,-0.0078,174.2519,-56.9542,20.9466
1.8047,-0.439,-0.0232,174.0,-54.2443,16.1069
1.8052,-0.4351,-0.0325,173.6336,-51.8931,11.9389
1.8225,-0.4355,-0.0547,173.084,-48.0687,6.9618
1.8213,-0.4409,-0.0625,172.4886,-45.7634,2.6336
1.8127,-0.4485,-0.0505,171.7023,-44.7786,-2.1221
1.801,-0.4548,-0.0461,170.9924,-43.9389,-6.8855
1.7944,-0.4543,-0.0652,170.0305,-43.916,-11.3588
1.7832,-0.4609,-0.0591,169.229,-45.0305,-16.1603
1.7795,-0.4521,-0.0625,168.1069,-45.9389,-20.6489
1.7642,-0.4646,-0.0588,166.9695,-47.3053,-25.4351
1.7627,-0.4651,-0.0745,166.2137,-48.9695,-30.3359
1.7578,-0.4692,-0.0801,165.4198,-50.8244,-34.7099
1.7512,-0.4646,-0.0859,164.3817,-53.0153,-39.4809
1.7417,-0.4709,-0.0884,163.6565,-54.8626,-44.2137
1.741,-0.4661,-0.1023,162.855,-56.7634,-48.5573
1.741,-0.4778,-0.1074,161.6947,-58.6718,-53.0763
1.7297,-0.4783,-0.1143,160.9466,-60.7099,-57.4809
1.7271,-0.4832,-0.1255,160.3053,-62.7176,-62.3664
1.72,-0.4851,-0.1272,159.4962,-64.2595,-66.6794
1.7114,-0.4854,-0.1409,158.3817,-66.1145,-70.9389
1.709,-0.4866,-0.146,157.3053,-68.3511,-75.7557
1.7058,-0.4871,-0.1501,156.2595,-70.3893,-79.9313
1.6968,-0.4866,-0.156,155.313,-72.6489,-85.1069
1.6777,-0.481,-0.1614,154.3359,-74.4504,-90.1527
1.6731,-0.4871,-0.1733,153.2137,-76.0382,-92.6412
1.6609,-0.4883,-0.1763,152.1756,-77.2061,-96.2519
1.6519,-0.4902,-0.1821,151.0611,-78.3206,-101.5496
1.6392,-0.5,-0.1936,150.1908,-79.0076,-105.084
1.6326,-0.5081,-0.1956,149.8092,-79.374,-108.1069
1.6206,-0.509,-0.2046,149.084,-79.7786,-111.1908
1.603,-0.5125,-0.2112,148.6336,-80.0611,-113.9237
1.5994,-0.5168,-0.2141,148.374,-80.374,-116.3664
1.5842,-0.5283,-0.2114,148.5267,-80.4657,-118.3359
1.5764,-0.5391,-0.2107,148.626,-80.626,-119.8855
1.564,-0.5391,-0.2187,148.9084,-80.7786,-121.5191
1.5659,-0.542,-0.2261,149.4351,-80.6641,-122.7023
1.5635,-0.5422,-0.2339,149.7176,-80.0305,-123.5267
1.5664,-0.5493,-0.2424,150.4886,-79.0534,-124.2061
1.5679,-0.5537,-0.26,150.9542,-78.2901,-125.3435
1.5688,-0.5596,-0.2661,151.8015,-77.0305,-126.0076
1.5769,-0.5676,-0.2898,152.5573,-75.9313,-126.7328
1.5754,-0.5825,-0.2961,153.3206,-74.5496,-127.9618
1.5808,-0.5747,-0.3196,154.2977,-73.1603,-128.8321
1.5847,-0.5845,-0.3201,155.2748,-72.2061,-129.9771
1.5859,-0.5774,-0.344,155.7939,-70.9313,-131.2748
1.5801,-0.5803,-0.3691,156.4198,-69.7786,-132.8397
1.5854,-0.5671,-0.395,156.4733,-68.4275,-134.6488
1.5837,-0.563,-0.4116,156.8473,-66.8702,-136.0229
