ax,ay,az,gx,gy,gz
1.3657,-0.0623,-0.4434,-37.6489,4.2595,9.2137
1.3882,-0.0613,-0.4587,-39.6336,6.2366,7.9466
1.397,-0.0645,-0.4607,-41.9618,8.5802,6.8473
1.4036,-0.0576,-0.4832,-44.3588,10.8702,5.5954
1.4077,-0.0557,-0.4807,-46.6412,13.3282,3.916
1.4138,-0.051,-0.4856,-48.916,15.9084,2.4885
1.4255,-0.0491,-0.4924,-51.8168,18.5344,1.2214
1.4241,-0.0464,-0.4912,-54.374,21.1221,-0.0382
1.4207,-0.0461,-0.4883,-57.2214,23.5573,-0.8397
1.4226,-0.0457,-0.4778,-60.0916,25.7939,-2.0305
1.4229,-0.042,-0.4775,-63.1832,28.0687,-2.9695
1.4233,-0.0417,-0.469,-65.9618,30.2824,-4.2214
1.4185,-0.0457,-0.4578,-69.0687,31.8702,-5.0229
1.4089,-0.0488,-0.4468,-72.313,33.8397,-6.6031
1.4067,-0.0581,-0.4373,-74.8473,35.3206,-8.1679
1.4036,-0.0645,-0.4189,-77.4046,36.4122,-9.229
1.395,-0.0776,-0.3972,-79.7481,37.4046,-10.7557
1.3799,-0.0842,-0.3687,-81.9542,37.7786,-12.3817
1.3704,-0.0862,-0.3469,-83.8931,37.7634,-14.0076
1.3577,-0.0928,-0.3118,-85.8702,37.4885,-15.8779
1.343,-0.093,-0.2751,-87.313,36.2748,-17.4962
1.3257,-0.1013,-0.262,-88.7328,34.8397,-19.1527
1.3149,-0.0999,-0.2483,-90.1069,33.1679,-21.2901
1.2964,-0.1099,-0.2104,-91.4198,30.9847,-23.2977
1.2849,-0.123,-0.1758,-92.2672,28.6565,-24.8855
1.2668,-0.1265,-0.1414,-92.7557,26.2061,-27.0
1.2476,-0.137,-0.1099,-93.2595,24.0916,-28.7252
1.2275,-0.1536,-0.0906,-93.5802,21.8168,-30.7099
1.2144,-0.1614,-0.0728,-93.4733,18.9847,-31.9313
1.189,-0.1516,-0.0439,-93.2214,16.7405,-33.0076
1.1812,-0.1472,-0.0381,-92.6412,14.5115,-33.5878
1.1721,-0.1282,-0.0166,-92.1908,12.7939,-34.4809
1.1606,-0.1235,0.0117,-91.1832,11.1298,-34.7176
1.1587,-0.1187,0.0381,-90.2977,9.4198,-34.542
1.144,-0.1306,0.042,-89.313,8.3053,-34.4656
1.1389,-0.1328,0.0676,-88.6565,7.0687,-34.2366
1.1387,-0.1379,0.0906,-87.5038,6.1221,-34.084
1.146,-0.1384,0.0886,-86.1679,5.0916,-33.6641
1.1492,-0.1411,0.0967,-84.9771,4.855,-33.1832
1.1553,-0.1394,0.1035,-83.3664,4.6412,-33.0611
1.1633,-0.1418,0.1116,-81.7481,4.8473,-32.7176
1.1709,-0.1421,0.1152,-80.5343,5.4962,-32.3282
1.1902,-0.1399,0.1094,-79.1603,6.5267,-32.5802
1.1985,-0.1489,0.1118,-77.5496,7.7176,-32.4427
1.207,-0.1426,0.1177,-75.9466,9.0611,-32.4809
1.2217,-0.1443,0.1238,-74.1985,10.458,-32.9008
1.2341,-0.1523,0.1204,-72.7939,11.7634,-33.3817
1.2319,-0.1526,0.1238,-71.1374,13.0916,-33.7252
1.2476,-0.1516,0.123,-69.5343,14.3206,-34.1985
1.2598,-0.1501,0.1196,-68.0,15.2824,-35.0534
1.2727,-0.1414,0.1152,-66.145,15.8092,-35.626
1.2832,-0.1311,0.0903,-65.1221,16.1069,-36.4427
1.3,-0.1257,0.0674,-63.7252,16.626,-37.1908
1.3252,-0.1125,0.0435,-62.6565,17.4122,-37.9847
1.3469,-0.104,0.0171,-62.0153,17.8779,-38.9924
1.3586,-0.0964,-0.0027,-61.6336,18.6947,-40.1603
1.3794,-0.0774,-0.0288,-61.7405,19.9924,-41.5573
1.4038,-0.0593,-0.0593,-62.0916,21.7176,-43.0687
1.4214,-0.0579,-0.0808,-63.2366,23.7328,-45.0153
1.4453,-0.0505,-0.1035,-64.7023,24.9847,-47.2061
1.4614,-0.0525,-0.1221,-66.5573,26.3664,-49.5496
1.4797,-0.0537,-0.1338,-68.6489,27.3893,-52.4122
1.4954,-0.0486,-0.1531,-71.0229,27.7634,-55.5573
1.4966,-0.0442,-0.1653,-73.1069,27.5649,-58.5267
1.5063,-0.032,-0.1689,-75.6565,26.4886,-62.0229
1.5161,-0.0376,-0.177,-78.5954,24.7557,-65.7557
1.5198,-0.0322,-0.1873,-81.3511,22.4504,-69.6107
1.5244,-0.0464,-0.1821,-85.1679,18.8855,-74.8244
1.5256,-0.0457,-0.1978,-89.4962,15.145,-80.0153
1.5237,-0.0508,-0.2073,-93.8855,10.9542,-85.2137
1.5212,-0.041,-0.1921,-98.3893,6.9389,-90.2901
1.5107,-0.0386,-0.1838,-102.855,2.5725,-94.2443
1.5039,-0.0212,-0.1692,-107.4351,-2.0458,-99.0458
1.4988,-0.0103,-0.1631,-111.4657,-6.4809,-103.8244
1.4849,0.0039,-0.1448,-116.3053,-11.5878,-107.7481
1.4729,0.0181,-0.1257,-120.8015,-16.916,-111.7405
1.4692,0.0249,-0.1147,-124.9008,-22.1145,-115.3511
1.4578,0.0291,-0.0908,-129.0458,-27.2443,-118.8321
1.4465,0.0225,-0.082,-133.1527,-31.4504,-121.9771
1.4473,0.0225,-0.0657,-136.916,-35.5573,-124.5725
1.447,0.0056,-0.0422,-140.8092,-40.2214,-127.0076
1.4512,0.0132,-0.0334,-144.084,-44.0382,-129.229
1.4468,0.0059,-0.0244,-147.4962,-47.6107,-131.2748
1.4709,-0.0046,0.0066,-150.8092,-50.7481,-133.4351
1.4785,-0.0195,0.0186,-153.4122,-53.0458,-135.5191
1.4958,-0.0266,0.0459,-155.8473,-54.7863,-137.2366
1.5278,-0.0381,0.0681,-157.7405,-56.5878,-138.5191
1.5444,-0.0483,0.0688,-159.0763,-57.2824,-140.313
1.5684,-0.0586,0.1003,-159.8321,-57.3588,-142.2443
1.5938,-0.0723,0.1306,-160.2824,-57.0534,-143.8397
1.6099,-0.0693,0.1382,-159.9924,-55.7863,-145.6107
1.6289,-0.0923,0.1543,-159.5114,-54.0305,-147.6565
1.6543,-0.1042,0.1846,-158.6031,-51.9466,-149.7252
1.6694,-0.1274,0.1978,-157.6336,-49.5496,-151.9313
1.6938,-0.126,0.2161,-155.8244,-47.8626,-154.4275
1.7222,-0.137,0.2236,-153.6794,-46.4733,-156.9695
1.7432,-0.135,0.2444,-151.3053,-45.0382,-159.7252
1.7729,-0.1492,0.2451,-148.8244,-43.9618,-162.626
1.781,-0.1506,0.2451,-146.313,-43.458,-165.7328
1.8164,-0.1489,0.2319,-143.4657,-43.1221,-169.2748
1.8442,-0.1479,0.2266,-141.4122,-42.9695,-173.0076
1.8792,-0.147,0.2119,-139.3664,-42.7481,-177.0992
1.905,-0.1467,0.1821,-138.0916,-42.4275,-181.626
1.9453,-0.1411,0.1709,-137.2137,-42.2519,-186.3893
1.9827,-0.1365,0.1431,-136.6488,-41.687,-191.0611
1.9999,-0.1335,0.1174,-136.6488,-40.626,-196.6412
1.9999,-0.1252,0.0862,-137.2443,-39.4885,-201.9237
1.9999,-0.1191,0.0698,-138.0076,-37.3511,-208.1603
1.9999,-0.1135,0.0291,-139.6412,-34.6565,-214.2977
1.9999,-0.1094,-0.0044,-141.8092,-31.458,-220.542
1.9999,-0.1128,-0.0286,-144.3817,-28.0076,-227.9008
1.9999,-0.1113,-0.0508,-147.2977,-24.5573,-234.9313
1.9999,-0.1279,-0.0635,-150.8702,-20.9389,-242.2748
1.9999,-0.1272,-0.0698,-154.3664,-17.084,-250.0305
1.9999,-0.1357,-0.0659,-158.1908,-13.7023,-250.1374
