ax,ay,az,gx,gy,gz
1.1672,-0.218,0.7925,113.5802,-54.0916,88.4733
1.1672,-0.252,0.8374,119.0763,-57.5878,90.916
1.1897,-0.2922,0.8552,125.1908,-61.4275,93.2443
1.1958,-0.3335,0.8857,132.458,-65.313,95.6031
1.2012,-0.3459,0.895,138.8855,-68.3206,97.8244
1.22,-0.3687,0.9131,146.313,-70.6718,99.9542
1.2383,-0.3933,0.9297,153.7328,-72.9695,102.3588
1.2695,-0.4209,0.9463,161.2901,-74.4962,104.0611
1.2908,-0.4492,0.969,169.0992,-75.8779,105.7176
1.324,-0.47,0.9761,177.2443,-77.2061,107.3969
1.3469,-0.4993,0.98,185.2901,-78.0687,108.5649
1.3828,-0.5339,1.0051,193.084,-79.5496,109.374
1.3999,-0.5393,0.9988,200.1527,-80.542,110.1298
1.4348,-0.5654,1.0044,208.8626,-81.7176,109.9924
1.4639,-0.6042,0.9912,216.8168,-81.7328,109.6718
1.4961,-0.6282,0.9905,224.542,-81.0763,109.5343
1.5281,-0.6665,0.9792,232.374,-80.084,108.687
1.5742,-0.6941,0.969,240.8779,-78.1298,107.542
1.5955,-0.7261,0.9556,249.4275,-75.9466,106.1298
1.6206,-0.7549,0.9387,250.1298,-73.6412,104.4122
1.6394,-0.7983,0.9192,250.1298,-71.3053,102.4275
1.6575,-0.8267,0.8967,250.1298,-69.7939,100.5267
1.6692,-0.843,0.8911,250.1298,-68.7481,98.0763
1.6816,-0.8745,0.8667,250.1298,-67.8855,95.7405
1.6968,-0.9045,0.8357,250.1298,-67.8168,93.458
1.7202,-0.9395,0.7942,250.1298,-68.1756,90.9008
1.7307,-0.9666,0.7476,250.1298,-68.5878,87.6031
1.7234,-0.989,0.7173,250.1298,-70.4962,84.0534
1.7319,-0.9932,0.6643,250.1298,-72.855,79.9847
1.7712,-0.9885,0.5681,250.1298,-72.5954,76.2824
1.7871,-0.9861,0.5364,250.1298,-70.4427,72.6107
1.7739,-0.9919,0.5298,250.1298,-71.7481,68.7557
1.7778,-0.9856,0.4963,250.1298,-74.9084,64.1985
1.7957,-0.9854,0.4207,250.1298,-77.5878,59.4656
1.8022,-0.9888,0.3987,250.1298,-82.2977,54.9466
1.8254,-0.9961,0.3279,250.1298,-88.5267,50.2824
1.8528,-0.9946,0.2495,250.1298,-92.2214,44.9924
