ax,ay,az,gx,gy,gz
1.5212,0.1506,0.905,178.7328,9.6565,196.1832
1.4941,0.1489,0.9089,182.7176,4.458,192.855
1.467,0.1411,0.9165,185.855,0.374,190.4427
1.4517,0.1318,0.9087,189.5496,-3.2748,188.1603
1.4182,0.1211,0.9006,192.9008,-6.6565,186.8092
1.3999,0.1167,0.9045,196.4809,-10.2901,185.7939
1.395,0.1077,0.8943,199.7939,-13.5267,185.4275
1.3857,0.0789,0.8433,203.6641,-17.4656,185.3053
1.3987,0.0364,0.7898,207.2595,-21.3969,186.2061
1.4214,-0.0166,0.6985,211.0153,-25.0534,186.8321
1.4646,-0.0676,0.5969,214.8397,-27.6107,187.9771
1.5095,-0.1079,0.4797,218.626,-29.1221,188.6947
1.5718,-0.1199,0.3823,222.2519,-28.8473,189.2901
1.6311,-0.1094,0.2617,225.6183,-26.7557,190.0
1.6545,-0.1096,0.2195,228.3206,-23.7939,190.4351
1.718,-0.0781,0.1296,230.8931,-19.5878,190.1298
1.7715,-0.04,0.053,232.6031,-14.9542,189.3893
1.8198,-0.0037,-0.0251,233.1985,-9.8779,188.0763
1.8643,0.0212,-0.0969,233.0229,-4.7023,186.1069
1.9111,0.0544,-0.1404,231.5267,0.3282,183.1145
1.9495,0.0908,-0.1882,229.3053,5.0458,179.8473
1.9626,0.1191,-0.2197,225.9542,9.0229,175.4809
1.9878,0.1443,-0.261,221.1069,13.0229,170.0153
1.9929,0.1584,-0.2817,216.374,15.9084,164.6336
1.9999,0.1748,-0.3108,210.313,18.2595,157.6794
1.9999,0.2065,-0.3467,203.8931,20.1298,150.7252
1.9999,0.2244,-0.3604,197.084,22.2672,143.3206
1.9999,0.2471,-0.3835,189.8473,23.4656,135.3206
1.9999,0.2639,-0.3884,182.5573,24.3282,127.2748
1.9999,0.2737,-0.3938,175.2137,25.1679,119.4962
1.9739,0.281,-0.386,167.7481,25.1298,111.5573
1.9399,0.2837,-0.3767,160.4275,24.7481,103.5191
1.9214,0.283,-0.356,153.4733,24.2672,96.5267
1.8779,0.2991,-0.3315,147.1603,23.7557,89.9389
1.8132,0.3066,-0.2971,141.1756,22.313,83.4885
1.7539,0.3159,-0.241,136.4122,19.5573,77.5573
1.6909,0.3057,-0.1758,132.1679,15.9237,72.1145
1.6377,0.3003,-0.1489,128.3512,11.9466,67.3359
1.575,0.2932,-0.0703,125.3282,7.2519,62.9008
1.5188,0.2827,-0.0234,123.4198,1.5878,59.0382
1.4878,0.2788,0.0005,120.6794,-4.229,55.5725
1.4385,0.2664,0.0488,120.0458,-9.7023,52.229
