ax,ay,az,gx,gy,gz
1.4448,-0.114,-0.2493,-42.0611,57.3511,37.0916
1.4871,-0.1245,-0.26,-43.6718,58.6412,34.1908
1.5261,-0.1262,-0.2729,-45.6107,60.4046,30.9618
1.5588,-0.1233,-0.2852,-47.0458,62.9466,27.7481
1.5867,-0.1169,-0.2905,-48.9389,65.8244,24.4962
1.6099,-0.1257,-0.302,-50.9313,69.2977,20.8397
1.6274,-0.1194,-0.2996,-53.2366,72.3664,17.1221
1.637,-0.123,-0.2991,-55.6412,75.6641,13.5038
1.645,-0.1206,-0.292,-58.1298,78.6641,9.9771
1.6541,-0.1287,-0.2839,-60.5496,81.3664,6.6031
1.6541,-0.1221,-0.2876,-63.3282,83.9389,3.5115
1.6567,-0.1135,-0.2886,-66.0687,86.4275,0.7252
1.6567,-0.1113,-0.2769,-68.6489,88.8092,-2.1145
1.657,-0.1221,-0.2649,-71.2061,91.084,-4.6794
1.6604,-0.1223,-0.2554,-74.2748,92.8931,-7.2061
1.6572,-0.1223,-0.2546,-76.9389,94.0611,-9.4656
1.6536,-0.1245,-0.2319,-79.8321,95.1221,-11.8092
1.6543,-0.1321,-0.2102,-82.6031,95.1145,-14.3893
1.6572,-0.1411,-0.1802,-85.7939,94.6794,-17.2137
1.6462,-0.1448,-0.1633,-88.9389,93.8168,-19.687
1.6577,-0.1465,-0.1531,-91.9237,92.4275,-22.4504
1.6648,-0.1528,-0.1187,-94.6641,90.5649,-25.084
1.6814,-0.1643,-0.0969,-97.374,88.3435,-28.3511
1.6848,-0.168,-0.0937,-100.1221,86.2443,-31.0687
1.7041,-0.1689,-0.0728,-102.7634,84.145,-34.6718
1.7195,-0.1758,-0.0488,-105.2366,81.9924,-38.374
1.7415,-0.1921,-0.0391,-107.3664,79.8168,-41.6794
1.7661,-0.199,-0.031,-109.5115,77.8092,-45.6489
1.7754,-0.2095,-0.0142,-111.542,75.687,-49.8473
1.7925,-0.2095,-0.0125,-113.7939,73.9771,-54.1069
1.8113,-0.21,0.0,-115.8779,71.8931,-58.8473
1.8252,-0.2148,0.0164,-118.2061,70.2595,-63.7863
1.8247,-0.2148,0.0212,-120.1756,68.5878,-68.8092
1.824,-0.2053,0.0256,-122.7557,67.1069,-74.374
