ax,ay,az,gx,gy,gz
0.9092,-0.9993,-0.0452,-122.3053,-84.9847,35.4275
0.9177,-0.9929,-0.0444,-125.0076,-85.4427,32.1527
0.9265,-0.9915,-0.0393,-127.1832,-85.6489,29.3435
0.9404,-0.9988,-0.0444,-128.458,-85.5573,26.7176
0.9443,-1.0093,-0.0403,-129.1374,-85.7405,24.3817
0.9399,-1.0154,-0.0193,-129.4657,-85.9695,21.8855
0.948,-1.0264,-0.0151,-129.6718,-85.916,19.6794
0.9524,-1.033,-0.0232,-129.7023,-85.7099,17.2748
0.958,-1.0425,-0.0356,-129.4657,-84.6641,15.5573
0.9468,-1.053,-0.0347,-128.9313,-83.4198,13.6718
0.9419,-1.0557,-0.0474,-128.3817,-82.6412,11.542
0.9348,-1.0823,-0.0452,-127.5878,-81.8092,9.3817
0.9263,-1.0959,-0.0718,-126.8779,-80.8092,6.8092
0.918,-1.127,-0.0925,-126.0229,-79.4885,4.5878
0.9202,-1.1492,-0.1211,-125.6641,-78.0382,2.7557
0.9165,-1.1829,-0.1516,-125.5496,-76.1908,0.7863
0.9243,-1.2034,-0.1843,-125.5496,-74.0305,-0.7634
0.9309,-1.2205,-0.2041,-126.1374,-71.8092,-1.458
0.9419,-1.2332,-0.2317,-127.0611,-70.4885,-2.5191
0.9541,-1.2388,-0.2578,-128.1985,-68.5573,-2.8779
0.9565,-1.2446,-0.2852,-129.5267,-66.9237,-2.8015
0.9731,-1.2559,-0.3149,-131.0916,-65.1985,-2.4733
0.98,-1.2625,-0.3474,-132.5802,-63.9847,-2.0687
0.9919,-1.2607,-0.3699,-133.9771,-62.5344,-0.8855
1.012,-1.2698,-0.4045,-135.3664,-60.7405,0.2443
1.0283,-1.269,-0.4214,-136.7252,-59.0687,1.9924
1.0476,-1.2729,-0.4436,-138.0305,-57.0534,4.1145
1.0503,-1.2708,-0.4546,-138.916,-54.6183,6.9924
1.0674,-1.2693,-0.4683,-140.0611,-52.2748,9.8855
1.0691,-1.2578,-0.4802,-141.0458,-49.8321,13.1145
1.1965,-1.23,-0.5256,-141.9084,-43.7939,18.6336
1.0989,-1.2966,-0.4937,-141.1069,-37.9771,24.0305
0.9651,-1.2307,-0.2371,-141.1374,-40.8473,28.5725
0.9314,-1.2852,-0.3882,-140.5725,-30.1679,34.8779
1.052,-1.3691,-0.2178,-137.9084,-34.7863,33.7481
0.8894,-1.3398,-0.1858,-136.9008,-44.6183,34.0229
1.1443,-1.2771,-0.4246,-137.0076,-31.0534,40.916
1.1958,-1.2651,-0.3765,-138.4886,-19.4886,46.8702
1.1794,-1.2524,-0.2971,-140.1221,-12.7863,51.8626
1.0066,-1.2834,-0.156,-141.8626,-10.1374,54.374
1.0728,-1.28,-0.1641,-144.542,-5.0687,56.542
