ax,ay,az,gx,gy,gz
1.4114,0.1565,-0.7095,23.5725,52.6031,7.5725
1.4504,0.1531,-0.7371,24.0916,62.9008,8.3893
1.4702,0.1287,-0.7471,24.6794,72.0992,8.7634
1.4858,0.1157,-0.7334,24.8931,81.3282,9.0916
1.4451,0.0955,-0.667,24.5267,88.1221,8.9771
1.4248,0.0933,-0.6228,23.8855,94.0458,9.0153
1.375,0.093,-0.5378,22.8092,98.2901,8.7405
1.3198,0.0984,-0.4407,21.8244,98.374,8.1756
1.2837,0.1055,-0.3748,20.2901,97.5573,7.2366
1.271,0.1204,-0.3625,19.1603,96.7557,6.4962
1.238,0.1265,-0.2986,17.6947,94.6183,5.4351
1.2202,0.1331,-0.2434,16.4886,90.9542,4.4504
1.1853,0.1582,-0.2095,15.3664,86.0611,3.4504
1.1599,0.1846,-0.1736,14.2901,80.5573,2.1221
1.1384,0.198,-0.1506,13.2824,74.2901,1.4885
1.113,0.2231,-0.1226,12.4962,67.6565,0.5878
1.0933,0.2395,-0.1008,11.7328,60.3664,-0.5115
1.0791,0.2461,-0.0918,11.1069,52.6947,-1.5573
1.0657,0.2583,-0.0935,10.3359,45.7481,-2.1908
1.0586,0.2612,-0.1042,10.0611,39.6031,-3.2519
1.0391,0.2559,-0.0923,9.5878,33.229,-3.9542
1.0371,0.2527,-0.1062,9.1145,27.2214,-4.4656
1.0308,0.2336,-0.1252,8.458,22.3664,-4.8702
1.0208,0.22,-0.1221,8.084,17.0992,-5.3817
1.0227,0.2107,-0.126,7.5344,12.855,-5.3817
1.0188,0.1875,-0.1287,7.0916,9.1069,-5.458
1.0127,0.1714,-0.1267,6.3664,5.0992,-4.9542
1.0137,0.1602,-0.136,5.6565,1.9771,-4.5649
1.0181,0.1396,-0.1619,5.2137,-0.1374,-4.0
1.0259,0.1372,-0.1697,4.5954,-0.5878,-3.5954
1.0154,0.125,-0.1616,4.1221,-2.0458,-2.374
1.0239,0.1072,-0.1895,3.855,-2.4427,-1.5344
1.019,0.1116,-0.2,3.3969,-2.4275,-0.8397
1.0081,0.0999,-0.1807,3.4198,-3.5878,0.1221
1.009,0.1028,-0.1982,3.4122,-4.313,1.1832
1.0063,0.1025,-0.1926,3.3053,-4.2214,2.0305
0.9922,0.1094,-0.1655,3.374,-5.0153,2.8015
0.9929,0.1194,-0.165,3.3206,-5.7023,3.6718
0.99,0.1226,-0.1619,3.4046,-5.9237,4.1374
0.978,0.1274,-0.1443,3.1985,-6.7176,4.7099
0.9822,0.127,-0.1479,3.1527,-7.4427,5.0687
0.9841,0.1311,-0.1506,3.1527,-7.8702,5.5878
0.9844,0.1438,-0.1406,3.3588,-8.4198,5.4351
0.9939,0.1509,-0.1438,3.3053,-9.4809,5.8779
1.0051,0.1587,-0.1323,3.4198,-10.5038,5.9084
1.0044,0.155,-0.1157,3.3282,-11.7863,5.687
1.0024,0.1575,-0.1062,3.1832,-13.8702,5.4809
1.0037,0.1729,-0.116,3.1908,-16.3053,5.2672
1.002,0.176,-0.0901,2.9771,-18.6107,4.7634
1.0107,0.1809,-0.0847,2.7023,-21.3664,4.3588
1.0151,0.1819,-0.0854,2.4962,-23.6947,3.687
1.0149,0.1841,-0.0779,2.2061,-25.5496,2.5496
1.0103,0.1841,-0.0776,1.8702,-27.5725,1.7481
1.0273,0.1929,-0.072,1.6183,-28.9389,0.9847
1.0217,0.1902,-0.0706,1.3053,-29.3893,0.1374
1.0193,0.186,-0.0593,0.6336,-29.9389,-1.2214
1.0264,0.1934,-0.0632,0.4504,-29.2977,-2.084
1.0188,0.1938,-0.0513,0.3588,-29.0229,-3.1832
0.9849,0.1851,-0.0449,0.4275,-30.2672,-4.3359
0.9761,0.1885,-0.085,0.9084,-32.374,-5.1908
0.9736,0.1853,-0.1094,1.5878,-33.5573,-6.0687
0.9775,0.186,-0.0874,1.8779,-31.9008,-7.0992
