ax,ay,az,gx,gy,gz
1.2129,0.0701,-0.0337,37.5496,-153.9771,8.1985
1.2258,0.0828,-0.0649,36.084,-160.6947,5.2137
1.2302,0.0813,-0.0696,34.5191,-166.771,2.2824
1.2297,0.095,-0.1047,32.6641,-172.6641,-0.5344
1.2466,0.0984,-0.1348,30.6947,-177.6488,-3.4885
1.2476,0.1121,-0.1655,28.8855,-182.229,-6.3511
1.2502,0.1101,-0.2041,26.8473,-186.2061,-8.855
1.2427,0.1206,-0.2375,24.7328,-189.4046,-11.5878
1.2373,0.1167,-0.261,22.7634,-192.2977,-13.8092
1.231,0.1179,-0.2783,20.626,-194.8321,-15.8855
1.2251,0.1143,-0.283,18.4351,-196.4886,-17.9771
1.2075,0.116,-0.2969,16.0458,-197.7328,-19.4427
1.1909,0.1162,-0.3264,14.0,-198.9389,-21.4198
1.1724,0.1143,-0.3489,12.0229,-199.542,-23.3053
1.1506,0.1001,-0.3701,9.8931,-199.7328,-25.0992
1.1287,0.0894,-0.4031,8.1908,-199.5802,-27.3053
1.1162,0.0742,-0.4146,6.5573,-199.1221,-29.2214
1.1006,0.0679,-0.4421,5.3053,-197.6794,-31.458
1.0762,0.0593,-0.4634,4.6641,-195.6488,-32.9618
1.071,0.051,-0.4822,3.771,-192.3664,-34.8321
1.0596,0.0493,-0.4934,3.4504,-187.8015,-36.6947
1.0378,0.041,-0.5029,3.4198,-182.2824,-38.0611
1.0239,0.0439,-0.498,3.6489,-175.7252,-39.374
1.0066,0.0337,-0.5034,4.0992,-168.855,-40.8473
1.0085,0.0491,-0.5803,5.0382,-158.5191,-41.5802
0.9951,0.0669,-0.5813,6.0305,-144.9084,-40.4198
0.9268,0.0642,-0.5103,6.7557,-134.6641,-39.9924
0.8943,0.0537,-0.4822,6.5725,-127.8092,-40.4427
0.8892,0.0391,-0.4675,5.7634,-119.7023,-40.5115
0.8901,0.0364,-0.4788,5.0153,-110.1374,-40.2901
0.9019,0.0381,-0.5537,4.4046,-99.0153,-39.3359
0.9038,0.0491,-0.5942,3.8015,-86.542,-38.2595
0.8877,0.0488,-0.6082,3.0763,-73.855,-36.313
0.8792,0.0603,-0.6208,2.2137,-61.5573,-34.4733
0.8704,0.0596,-0.6228,1.4427,-51.0534,-32.145
0.866,0.0728,-0.6306,0.3664,-40.5649,-30.0
0.8594,0.0789,-0.6309,-0.9542,-28.1985,-27.5573
0.8596,0.0847,-0.6348,-2.3435,-17.3053,-25.4198
0.8665,0.1028,-0.6392,-3.6031,-6.6183,-23.4733
0.8623,0.0981,-0.6414,-4.9466,2.9924,-22.084
0.8613,0.106,-0.6318,-6.4885,14.7481,-20.2672
0.8594,0.1133,-0.6191,-7.7023,23.5496,-18.8473
0.8743,0.1218,-0.626,-9.2748,31.5191,-17.9389
0.8752,0.1299,-0.6106,-10.4275,38.4733,-16.6794
0.8838,0.1396,-0.6072,-11.5344,45.1221,-15.8702
0.896,0.1401,-0.6003,-12.6947,50.7481,-15.1374
0.9094,0.144,-0.592,-13.5115,55.6565,-14.3053
0.915,0.1492,-0.5745,-14.1985,59.8702,-13.916
0.9316,0.1558,-0.5562,-14.9466,63.2595,-13.4351
0.947,0.1675,-0.5293,-15.5725,66.3053,-12.6412
0.938,0.1667,-0.5142,-16.1908,68.4046,-12.4046
0.9446,0.1653,-0.5107,-16.771,70.1374,-12.0382
0.9626,0.1841,-0.4761,-17.3359,70.5725,-11.9389
0.9539,0.1941,-0.467,-17.7786,71.0992,-11.5878
0.9719,0.1909,-0.4253,-18.4122,70.542,-11.4122
0.9661,0.2065,-0.4224,-19.1221,69.9695,-11.9084
0.9683,0.2124,-0.3857,-19.626,68.8626,-12.1908
0.9934,0.2217,-0.3381,-20.2824,65.9618,-12.145
0.9841,0.2249,-0.3315,-21.1527,63.4275,-12.4351
0.9851,0.2166,-0.2981,-21.7023,60.7023,-12.9695
0.9883,0.2234,-0.2742,-22.5649,56.8931,-13.6565
0.9946,0.2288,-0.25,-23.5114,53.2901,-14.5725
1.0024,0.2288,-0.2405,-24.0229,50.0382,-15.229
1.0281,0.2297,-0.231,-24.5649,45.3893,-16.0305
1.0364,0.2432,-0.2656,-25.2672,41.8779,-17.1756
1.052,0.2488,-0.2642,-25.6031,38.4809,-17.9084
1.0801,0.2632,-0.2683,-25.855,33.1298,-18.1756
1.0674,0.269,-0.2595,-25.8626,29.1756,-18.313
1.0847,0.2688,-0.3074,-26.3359,26.5496,-18.3588
1.0593,0.2886,-0.3071,-26.5878,21.5802,-18.2977
1.0969,0.2993,-0.2847,-26.5496,15.5115,-17.4886
1.0647,0.3027,-0.2632,-26.6641,8.8626,-16.5878
1.0701,0.3115,-0.2068,-26.8321,-0.229,-15.687
1.1052,0.3218,-0.1616,-26.6489,-10.1832,-13.8168
1.1008,0.3201,-0.1433,-26.5114,-20.8092,-10.7786
1.0876,0.3127,-0.1338,-26.4122,-30.8092,-8.3359
1.0864,0.3083,-0.1201,-26.145,-41.0687,-5.6336
1.0962,0.3003,-0.1455,-25.6107,-49.2901,-2.687
1.0901,0.2888,-0.1848,-25.0458,-55.5725,0.145
1.082,0.2798,-0.2158,-24.229,-60.2137,2.8473
1.0583,0.2625,-0.2397,-23.2748,-63.4809,5.2214
1.0439,0.2637,-0.2771,-22.2519,-65.0458,7.229
1.0229,0.2544,-0.3167,-20.9466,-64.7023,8.5191
1.0173,0.2507,-0.3408,-19.7176,-63.4809,10.0305
1.0034,0.2422,-0.3606,-18.2443,-61.0076,11.2748
0.9929,0.2412,-0.3667,-17.0458,-58.6107,12.6794
0.9883,0.2539,-0.3813,-15.9924,-56.3511,14.0229
0.9878,0.2522,-0.3804,-14.9313,-54.4504,15.3969
0.989,0.2561,-0.3889,-14.1603,-52.4198,16.7634
0.9951,0.2629,-0.384,-13.145,-50.3893,19.1985
0.9775,0.2637,-0.3542,-12.6107,-50.6641,20.4656
0.9946,0.2632,-0.3713,-12.1069,-49.9695,21.5649
0.9958,0.2693,-0.3901,-11.8855,-49.084,23.1527
1.0139,0.2722,-0.376,-11.5038,-48.6336,24.3511
0.9956,0.2622,-0.3665,-11.4351,-49.6031,24.8779
1.0334,0.2664,-0.4055,-11.3817,-49.2137,25.2519
1.0466,0.2644,-0.4417,-11.1069,-46.7863,25.9847
1.052,0.2527,-0.4387,-11.3206,-44.9313,25.5114
1.0591,0.2537,-0.45,-11.0305,-43.5115,24.2824
1.075,0.241,-0.4844,-10.9618,-41.0153,22.9847
1.0679,0.2417,-0.4778,-11.3588,-39.0458,21.4886
