ax,ay,az,gx,gy,gz
0.6646,0.6396,0.1013,13.4122,-152.4657,-54.0229
0.9333,0.7102,-0.261,15.7634,-129.5496,-48.6183
1.0703,0.6917,-0.3752,18.7252,-98.4198,-42.2061
1.0667,0.6553,-0.3608,21.9008,-65.8397,-35.1527
1.1545,0.6477,-0.3718,25.2824,-39.0153,-28.771
1.0496,0.6133,-0.22,28.0916,-21.3664,-24.1221
0.9998,0.6045,-0.0825,30.1221,-12.0611,-21.2214
0.9761,0.6169,-0.0151,31.1832,-6.0229,-19.2824
0.959,0.6396,0.0295,31.9389,-1.4046,-18.2977
0.9626,0.6699,0.0276,32.0611,3.0992,-17.6794
1.0049,0.6777,-0.002,32.9008,9.5725,-16.9389
1.0259,0.6826,-0.061,33.6183,17.1069,-16.5114
1.0313,0.6729,-0.1309,34.4122,26.2214,-16.8168
1.052,0.6604,-0.1714,35.0076,36.1221,-17.7023
1.009,0.613,-0.1973,35.229,44.2824,-20.0
0.9497,0.5679,-0.1802,34.8626,48.5649,-23.5344
0.9001,0.5259,-0.1526,33.8931,50.3053,-27.916
0.8745,0.5005,-0.1687,32.1374,51.1527,-33.9084
0.8748,0.4741,-0.1719,29.8855,51.313,-39.0305
0.8777,0.4602,-0.1709,27.9008,49.6947,-43.1221
0.8865,0.4558,-0.1863,26.0992,47.6107,-45.9313
0.894,0.4409,-0.1938,23.9542,44.626,-48.4504
0.9082,0.4473,-0.1948,22.0076,41.5573,-50.1145
0.9045,0.459,-0.2126,19.9618,37.6565,-51.2214
0.9209,0.4736,-0.2332,17.7786,34.6718,-52.0458
0.9258,0.5071,-0.262,15.5878,32.7023,-52.4656
0.9485,0.512,-0.2957,13.4656,32.3588,-52.7481
0.9473,0.5359,-0.3328,10.6641,34.458,-52.4733
0.9548,0.552,-0.3564,7.5191,37.8626,-52.6794
0.9473,0.5674,-0.3723,4.458,41.7252,-52.5878
0.9187,0.5745,-0.3564,0.9847,44.5573,-53.2672
0.8909,0.583,-0.3445,-2.9695,46.1069,-54.6412
0.8689,0.574,-0.3308,-6.8397,46.916,-56.4809
0.8408,0.5728,-0.3091,-10.7863,46.2901,-59.313
0.8286,0.5588,-0.2991,-14.3664,44.1069,-62.0458
0.8301,0.5537,-0.3152,-17.5191,41.9008,-64.9542
0.8167,0.5469,-0.2888,-20.4656,39.0153,-67.8397
0.8113,0.5427,-0.2766,-22.9466,36.0305,-70.084
0.8044,0.53,-0.2478,-24.6031,32.1908,-72.1527
0.7856,0.5208,-0.2134,-26.0763,27.3893,-74.084
0.7815,0.5176,-0.1697,-26.9542,22.2519,-75.7634
0.7979,0.5361,-0.1589,-27.7252,18.0611,-77.1832
0.8157,0.5459,-0.1382,-28.458,15.626,-77.5725
0.8306,0.5496,-0.1331,-28.8092,14.3435,-77.771
0.8201,0.5684,-0.1008,-28.4886,11.9237,-78.1603
0.844,0.5874,-0.0693,-28.3359,11.0611,-77.8321
0.856,0.606,-0.0393,-28.1832,10.4504,-77.3435
0.8616,0.6204,-0.0332,-27.1756,10.1985,-76.9084
0.8555,0.6316,0.0007,-25.9542,10.6565,-76.2977
0.8677,0.6431,0.0039,-24.3511,11.3664,-75.771
0.8716,0.6499,0.0142,-22.7176,13.7099,-75.374
0.8691,0.6445,0.0205,-20.8855,15.3511,-74.7328
0.8506,0.6345,0.0164,-18.1756,16.7405,-74.1527
0.8557,0.6345,0.0176,-15.8473,18.9389,-73.2595
0.8145,0.6108,0.0242,-13.4656,19.9313,-72.6718
0.7788,0.5776,0.0479,-10.626,17.8321,-72.5496
0.7441,0.5645,0.0525,-7.8092,14.626,-72.5878
0.7168,0.5413,0.0459,-4.9466,11.6565,-72.5878
0.7014,0.5386,0.042,-2.1298,8.9313,-71.9542
0.6931,0.5312,0.0415,0.2443,7.1221,-71.4657
0.6733,0.5408,0.0432,1.7557,5.2595,-70.626
0.6785,0.551,0.0271,3.145,4.0992,-69.1145
0.6604,0.5527,0.0146,4.2595,3.1908,-67.2672
0.6467,0.5764,0.012,5.3893,1.9313,-65.4962
0.6306,0.593,0.0173,6.374,0.5649,-63.0763
0.6084,0.6072,0.0071,7.2214,-0.5191,-60.9847
0.5828,0.6267,0.0205,8.0153,-2.313,-58.8092
0.5698,0.6445,0.0181,8.9084,-3.6565,-56.4427
0.5535,0.6541,0.0295,9.7863,-4.9008,-54.0687
0.5471,0.6572,0.0364,10.6947,-6.8779,-51.5496
0.5308,0.6594,0.0308,11.9695,-9.4198,-48.7099
0.5051,0.6609,0.0439,12.8779,-13.374,-45.4427
0.4863,0.6565,0.0479,14.1985,-16.7557,-42.5267
0.4883,0.6587,0.0308,15.4046,-19.9695,-39.5878
0.4839,0.6604,0.0266,16.7176,-23.0611,-36.7023
0.4707,0.6628,0.0288,17.8473,-26.458,-33.8626
0.4729,0.6636,0.0381,19.0153,-29.1145,-30.6794
0.4692,0.6572,0.0522,20.4275,-32.0153,-27.4886
0.4521,0.6672,0.0654,21.7023,-35.3511,-24.4886
0.4512,0.6655,0.0527,22.7786,-37.3282,-21.4886
0.4475,0.6687,0.0464,24.0611,-38.5878,-17.9771
0.447,0.6741,0.0457,25.3664,-39.5573,-14.4275
0.4512,0.6807,0.0322,26.6183,-40.4427,-11.1145
0.4456,0.6848,0.0457,27.8931,-41.1221,-7.916
0.4487,0.6851,0.0347,29.1298,-42.1908,-3.9542
0.458,0.6919,0.0483,30.2977,-43.9695,-0.5267
0.4753,0.6982,0.0442,31.3359,-46.0382,3.3435
0.4849,0.7129,0.0422,32.6718,-48.3893,7.5725
0.5083,0.7263,0.0408,33.916,-51.7786,11.6489
0.5095,0.7334,0.0232,35.0305,-54.9847,15.3969
0.5254,0.7532,-0.0183,36.2137,-58.3053,19.9847
0.5369,0.7732,-0.062,37.0382,-60.3664,24.0229
0.553,0.7964,-0.0969,37.4885,-61.145,28.0076
0.5693,0.8018,-0.1343,37.4733,-60.2061,31.6489
0.5945,0.8027,-0.1765,36.6794,-57.6489,35.6336
0.6184,0.7891,-0.2029,35.2519,-53.6718,39.2443
0.6482,0.7756,-0.2207,33.2977,-48.5954,42.8244
0.6558,0.7607,-0.229,30.7405,-43.687,45.9008
0.6775,0.7434,-0.2437,27.4733,-38.6336,48.8244
0.6816,0.6948,-0.2498,24.1908,-34.2901,50.8397
0.696,0.6467,-0.2537,20.8168,-30.7481,52.313
0.7068,0.5967,-0.2456,17.4886,-27.542,52.8321
0.7244,0.5574,-0.2468,14.1221,-25.1221,52.7939
0.7454,0.5256,-0.2546,11.1298,-23.1908,52.0687
0.7598,0.5068,-0.2576,8.2672,-21.374,51.4656
0.7693,0.5034,-0.2368,5.542,-19.7481,49.4351
0.7693,0.5015,-0.2319,2.9389,-18.0382,47.3969
0.7927,0.5056,-0.2393,0.145,-16.2519,44.6107
0.8018,0.5188,-0.251,-2.4733,-14.0076,41.5573
0.8042,0.533,-0.2317,-4.8473,-11.8702,37.8931
0.8223,0.5413,-0.2212,-7.1756,-10.2977,34.0534
0.8335,0.563,-0.2053,-9.4962,-8.8168,29.7634
0.8484,0.5693,-0.1924,-11.4885,-7.5954,25.2137
0.8652,0.5786,-0.1755,-13.3893,-6.7634,21.2519
0.8665,0.5903,-0.1628,-14.8626,-5.9313,17.3511
0.8914,0.5884,-0.1445,-16.1679,-5.0916,12.7252
0.8999,0.5854,-0.1328,-17.5191,-4.0916,8.8855
0.9114,0.5913,-0.1155,-18.2824,-3.4198,5.2901
0.9287,0.6089,-0.093,-18.7252,-2.6565,2.0229
0.9246,0.6023,-0.0779,-19.2366,-1.6794,-1.1145
0.9329,0.614,-0.0779,-19.5954,-0.1145,-3.9847
0.927,0.6284,-0.0742,-19.5954,1.5191,-6.8702
0.9214,0.6379,-0.0664,-19.3511,2.8473,-9.4962
0.9111,0.644,-0.0605,-19.1908,4.3282,-11.9771
0.9099,0.658,-0.0518,-18.9084,5.6794,-14.4656
0.8975,0.6733,-0.0444,-18.6641,6.7481,-16.9466
0.8721,0.679,-0.0449,-18.4809,8.0763,-19.6489
0.8491,0.689,-0.0479,-18.2977,9.2137,-21.9237
0.8298,0.6941,-0.054,-18.1145,10.4656,-24.145
0.804,0.7004,-0.0437,-17.7328,11.0305,-26.0458
0.7751,0.7144,-0.0591,-17.6412,11.5573,-27.5954
0.7532,0.7214,-0.0701,-17.7557,11.6336,-28.9008
0.7363,0.7322,-0.0774,-18.0382,11.5573,-29.5802
0.7166,0.75,-0.0842,-18.1985,11.1145,-30.1908
0.6973,0.7573,-0.0728,-18.7099,10.3664,-30.3206
0.6833,0.7732,-0.0698,-19.229,9.6947,-29.4962
0.6709,0.7825,-0.0669,-19.771,8.6489,-28.1221
0.6501,0.7793,-0.0518,-20.4809,7.7099,-26.687
0.6462,0.7876,-0.0603,-21.3435,7.2443,-24.3511
0.6392,0.7949,-0.0637,-21.8626,7.1298,-21.4962
0.623,0.7942,-0.0479,-22.2901,7.5802,-18.5725
0.6135,0.7864,-0.0579,-22.6412,8.5344,-15.4809
0.6194,0.7839,-0.0688,-23.0153,9.8015,-11.7863
0.6108,0.7905,-0.0715,-22.8168,11.3282,-8.145
0.603,0.7751,-0.0701,-22.7481,12.8244,-4.1069
0.592,0.7781,-0.0593,-22.4656,14.0534,-0.1527
0.584,0.7759,-0.0532,-22.0992,14.8321,3.8244
0.5781,0.7729,-0.0391,-21.7328,14.7634,7.7405
0.5781,0.7686,-0.0415,-21.2443,14.6947,11.7786
0.5671,0.7654,-0.0276,-20.6947,14.3893,16.5878
0.5708,0.7708,-0.0339,-20.2137,13.5878,20.145
0.5669,0.7666,-0.0186,-19.916,11.9695,24.3435
0.5681,0.751,-0.0081,-19.6947,9.6489,28.2977
0.5813,0.7358,-0.0093,-19.0305,7.3435,31.6794
0.5823,0.7083,0.0037,-18.5344,4.4733,35.2137
0.5918,0.6667,0.0256,-18.0763,1.0153,38.5954
0.6077,0.6345,0.0503,-17.4656,-2.6336,41.5649
0.6294,0.5979,0.061,-17.1527,-6.6031,44.1832
0.6426,0.5435,0.0725,-16.8015,-11.2672,46.7939
0.656,0.5269,0.0615,-15.9847,-15.9542,48.8702
