ax,ay,az,gx,gy,gz
1.3721,-0.5005,0.1267,14.7863,-59.0,56.3969
1.3955,-0.5186,0.1235,11.9389,-59.0534,57.7481
1.4175,-0.5391,0.1267,9.542,-58.4885,58.5344
1.4275,-0.5476,0.1294,7.6489,-57.6031,58.9313
1.4409,-0.5583,0.1443,6.0916,-57.2977,58.9771
1.4563,-0.5784,0.1555,4.8702,-55.8931,58.855
1.467,-0.5935,0.1509,3.9695,-54.7023,57.8473
1.4868,-0.6082,0.1553,3.8015,-54.0382,56.3053
1.4956,-0.6272,0.1697,3.8779,-52.855,54.542
1.4988,-0.636,0.1865,4.4046,-51.6031,52.4656
1.5142,-0.6423,0.1755,5.7176,-50.3206,49.2748
1.5198,-0.6562,0.1868,7.0611,-48.7634,46.4122
1.5168,-0.6602,0.1848,8.9924,-47.1298,42.4351
1.5137,-0.6704,0.1899,10.9695,-45.1908,38.2137
1.5186,-0.6689,0.2014,13.7634,-43.0763,33.5725
1.5208,-0.6768,0.2036,16.9695,-40.9313,28.4733
1.5151,-0.6829,0.2058,20.2519,-38.8702,23.1756
1.5166,-0.6892,0.2058,23.855,-36.3969,17.4198
1.502,-0.6912,0.2046,27.8244,-33.8473,11.7176
1.4976,-0.6919,0.2092,32.3588,-31.3588,5.3435
1.4871,-0.6953,0.2129,36.6718,-28.458,-0.8092
1.4666,-0.6819,0.219,41.7328,-25.5802,-7.0458
1.4387,-0.687,0.2241,46.8855,-22.6031,-13.626
1.4299,-0.6782,0.22,52.0305,-18.7405,-19.8092
1.4143,-0.6714,0.1965,59.0992,-12.6947,-27.0611
1.3894,-0.6553,0.1924,64.2824,-8.4351,-33.0382
1.3562,-0.6509,0.1846,69.4351,-4.4046,-38.626
1.3372,-0.6316,0.1694,74.9313,-0.0763,-43.6489
1.3103,-0.6189,0.1589,80.6947,4.458,-48.3588
1.2688,-0.6101,0.1555,85.9084,8.0916,-52.3817
1.2434,-0.5999,0.1565,90.8397,11.2061,-55.7557
1.2087,-0.5908,0.1545,95.7557,14.1374,-58.8168
1.1743,-0.5803,0.1733,99.7252,16.3053,-61.6183
1.1377,-0.5767,0.1726,104.229,19.0229,-64.1679
1.1018,-0.5635,0.1675,108.0916,21.0458,-66.3359
1.0754,-0.5557,0.1541,111.7557,22.6947,-68.2595
