ax,ay,az,gx,gy,gz
1.0896,0.5698,-0.7158,-23.9771,-7.8473,-10.6412
1.0957,0.5737,-0.7488,-26.7176,-10.5267,-12.0
1.0972,0.5815,-0.7673,-29.5954,-12.7939,-13.4046
1.1128,0.5718,-0.7976,-33.4656,-14.8473,-14.9618
1.1216,0.5779,-0.8159,-37.2748,-16.5725,-16.6641
1.1455,0.5808,-0.8296,-40.8779,-18.8168,-18.0534
1.1526,0.5774,-0.8469,-44.5115,-21.4962,-19.8092
1.165,0.5818,-0.8669,-48.2672,-24.0076,-21.5496
1.1731,0.5725,-0.894,-52.4504,-25.9695,-23.229
1.1912,0.5625,-0.9011,-56.4427,-27.8168,-25.4198
1.1965,0.5542,-0.9177,-60.4733,-29.5649,-27.3206
1.1934,0.5457,-0.9275,-64.5038,-31.626,-29.9313
1.2056,0.5449,-0.926,-68.9695,-33.8015,-32.1603
1.2056,0.5518,-0.9304,-72.9618,-35.229,-34.9389
1.2078,0.5459,-0.9375,-77.0763,-36.1527,-37.916
1.2107,0.5452,-0.9375,-80.4885,-36.7939,-40.6412
1.2039,0.5286,-0.9324,-84.1221,-37.374,-43.2519
1.2063,0.5186,-0.9338,-87.458,-38.0229,-45.855
1.2,0.4971,-0.9233,-90.6183,-37.7634,-48.4198
1.1921,0.488,-0.9226,-93.5725,-37.313,-51.2061
1.189,0.4744,-0.926,-96.2824,-36.7023,-53.687
1.1724,0.4656,-0.9229,-98.7939,-35.8244,-56.1221
1.1592,0.4631,-0.905,-100.771,-35.0382,-58.5267
1.1396,0.4619,-0.9004,-102.9084,-34.4122,-60.5267
1.1182,0.467,-0.8892,-104.6412,-33.5496,-62.5878
1.0957,0.4705,-0.8867,-106.4427,-32.3664,-64.229
1.0723,0.4868,-0.8655,-108.3359,-31.5954,-65.5115
1.0488,0.501,-0.865,-110.0534,-30.7481,-67.0
1.0388,0.51,-0.8689,-111.6412,-30.1832,-67.771
1.0071,0.5278,-0.853,-113.6718,-29.7786,-68.4122
0.9812,0.5374,-0.8547,-116.0,-30.0763,-68.8397
0.9587,0.5425,-0.8628,-118.9084,-30.0153,-68.9008
0.9412,0.5518,-0.8672,-122.1221,-30.7481,-68.5649
0.9258,0.5466,-0.8765,-125.2137,-31.3282,-67.9084
0.9075,0.5425,-0.8921,-129.3969,-32.2595,-67.4427
0.8843,0.542,-0.8965,-133.5954,-33.4275,-66.8779
