ax,ay,az,gx,gy,gz
1.3237,0.1694,-0.5767,-4.2061,-29.0229,-5.3893
1.3406,0.1726,-0.5957,-5.3511,-29.3893,-6.4427
1.356,0.1699,-0.6187,-6.7176,-29.2443,-7.6336
1.3672,0.1743,-0.6306,-8.0153,-29.3359,-9.0229
1.3743,0.1758,-0.6482,-9.4504,-28.687,-10.5191
1.3853,0.1802,-0.6714,-10.9466,-28.1908,-11.9389
1.3945,0.1738,-0.6946,-12.542,-27.3664,-14.1298
1.4082,0.1792,-0.719,-14.3359,-27.0076,-16.2672
1.4136,0.1775,-0.7424,-16.2748,-26.5114,-18.2519
1.4124,0.176,-0.7627,-18.1221,-25.9313,-20.5191
1.4272,0.1714,-0.7898,-20.4198,-25.6031,-23.229
1.4263,0.1768,-0.7942,-22.7328,-24.855,-25.5573
1.4233,0.1755,-0.8193,-25.229,-23.855,-28.0992
1.4187,0.1816,-0.8416,-27.9389,-23.0229,-30.9542
1.4165,0.1885,-0.8655,-30.5573,-21.9771,-33.3435
1.418,0.1851,-0.8884,-33.5191,-20.7405,-36.0076
1.4084,0.1917,-0.9023,-36.5038,-20.0611,-39.0076
1.3953,0.2002,-0.9133,-39.4885,-19.3206,-41.3817
1.3896,0.1982,-0.9304,-42.6794,-18.7252,-43.8855
1.3723,0.196,-0.946,-45.7557,-18.1145,-46.2748
1.3633,0.1895,-0.9512,-49.8168,-17.0992,-49.2137
1.3369,0.189,-0.9724,-53.3282,-16.7405,-51.4504
1.3357,0.1689,-0.9912,-56.9847,-16.7099,-53.542
1.3232,0.1614,-0.9907,-60.5573,-16.687,-55.6565
1.3049,0.1567,-0.9924,-64.6794,-16.5954,-57.3511
1.2737,0.1516,-1.002,-68.7786,-16.3817,-59.0534
1.262,0.1528,-0.991,-73.0687,-16.1603,-60.5344
1.2327,0.1467,-0.9951,-77.1298,-16.2443,-62.0
1.2129,0.145,-1.0005,-81.5191,-16.6489,-63.0
1.1973,0.1497,-1.0042,-85.6794,-16.6641,-63.5115
1.1743,0.1387,-1.0095,-89.9542,-17.1374,-64.2061
1.1528,0.1411,-1.0027,-94.1679,-17.6412,-64.4809
1.1523,0.1404,-1.0022,-98.2443,-17.9008,-64.8092
1.1418,0.147,-1.02,-102.6565,-18.1908,-64.5725
1.1279,0.1477,-1.0073,-106.7176,-18.3511,-64.3511
1.1077,0.1489,-1.0137,-111.0992,-18.7328,-64.2824
1.1074,0.1443,-1.0208,-115.4733,-18.771,-63.9771
1.0903,0.1394,-1.021,-119.7939,-18.7863,-63.084
1.0781,0.1309,-1.0181,-124.229,-18.626,-62.5191
1.0632,0.1272,-1.0215,-128.4962,-18.5191,-62.2519
1.0623,0.135,-1.0181,-132.7863,-19.0153,-61.374
1.0518,0.123,-1.0112,-137.2748,-19.6794,-60.3435
1.0515,0.1287,-1.0066,-141.7405,-21.0992,-59.8473
1.0388,0.1282,-1.0024,-145.8702,-22.7405,-58.7786
1.0369,0.1289,-0.9939,-150.2366,-23.855,-57.7252
1.03,0.1328,-0.9956,-154.6336,-24.7863,-57.2901
1.0259,0.1338,-0.9895,-159.4427,-25.6107,-56.6947
1.0212,0.1431,-1.0005,-164.0534,-26.6794,-55.8473
1.0269,0.1394,-0.9978,-168.4886,-27.9313,-55.2137
1.0298,0.1338,-0.9995,-173.5954,-29.5878,-54.9084
1.0217,0.1306,-0.9956,-178.4122,-31.0153,-54.4046
1.0298,0.1265,-1.0044,-183.5114,-32.7863,-53.9618
1.032,0.1252,-1.0059,-188.6336,-34.6718,-54.145
1.0281,0.1106,-0.9968,-193.7328,-37.0229,-54.626
1.0391,0.0957,-0.9871,-199.0687,-39.6412,-54.771
1.0366,0.0928,-0.9773,-204.2595,-42.1756,-55.5802
1.0447,0.073,-0.9626,-209.687,-44.8779,-56.8702
1.0488,0.074,-0.9597,-215.145,-47.7023,-57.9237
1.0415,0.0686,-0.9397,-220.6336,-50.5115,-59.7176
1.0464,0.072,-0.9214,-226.1679,-53.0229,-61.8015
1.0522,0.073,-0.9041,-231.2519,-55.313,-63.8626
1.0435,0.0688,-0.8767,-236.1527,-57.4962,-66.4962
1.0461,0.0693,-0.8542,-240.9695,-59.8473,-69.2977
1.0508,0.0833,-0.8245,-245.374,-62.0916,-72.3435
1.0386,0.0857,-0.783,-249.6641,-64.0,-75.3511
1.0393,0.0876,-0.7683,-250.1374,-66.2443,-78.9084
1.0293,0.0898,-0.7324,-250.1374,-68.7939,-81.9924
1.0344,0.0918,-0.689,-250.1374,-71.1374,-85.4733
1.0242,0.083,-0.6492,-250.1374,-73.3206,-89.0229
1.0159,0.0798,-0.6072,-250.1374,-75.229,-91.2443
1.0166,0.0842,-0.5718,-250.1374,-76.7328,-95.2366
1.0117,0.0786,-0.5269,-250.1374,-77.7557,-96.771
0.9944,0.0818,-0.4934,-250.1374,-78.2824,-101.1756
0.9846,0.0874,-0.4773,-250.1374,-78.3282,-103.8473
0.9531,0.0874,-0.4136,-250.1374,-77.687,-107.2137
0.9429,0.094,-0.3818,-250.1374,-77.4427,-109.8321
0.9128,0.0996,-0.3452,-250.1374,-76.8321,-112.2977
0.8855,0.1057,-0.2986,-250.1374,-76.2672,-113.8473
0.8564,0.1125,-0.2559,-250.1374,-75.8092,-114.9466
0.835,0.1125,-0.22,-250.1374,-75.3206,-115.5038
0.8213,0.1145,-0.1897,-250.1374,-74.7939,-115.8244
0.7864,0.1189,-0.1484,-250.1374,-74.1374,-115.5573
0.7637,0.1274,-0.1196,-250.1374,-73.1832,-115.0
0.7446,0.114,-0.0676,-250.1374,-71.7557,-114.145
0.7241,0.1118,-0.0378,-250.1374,-70.2519,-112.8092
0.7021,0.1099,0.0059,-250.1374,-68.5649,-110.9924
0.6787,0.1042,0.0381,-250.1374,-66.8702,-108.7328
0.6663,0.0994,0.083,-250.1374,-65.4275,-106.1679
0.6572,0.0872,0.1003,-250.1374,-64.0611,-103.1679
0.6445,0.0833,0.1296,-250.1374,-62.7176,-99.0153
0.6392,0.0796,0.1609,-250.1374,-61.2214,-96.3817
0.6287,0.0576,0.1921,-250.1374,-59.4504,-92.9618
0.6274,0.0527,0.21,-250.1374,-57.313,-87.4504
0.6238,0.0381,0.2419,-250.1374,-55.3588,-83.3893
0.6223,0.031,0.2603,-250.1374,-53.3817,-79.3282
0.6121,0.0269,0.303,-250.1374,-51.0687,-74.6947
0.6099,0.0247,0.3286,-250.1374,-49.2214,-70.5267
0.6084,0.0237,0.3494,-250.1374,-47.5649,-66.5573
0.6018,0.0256,0.3782,-250.1374,-45.9237,-62.3664
0.5986,0.0264,0.4094,-250.1374,-44.3817,-58.4504
0.6104,0.0237,0.4412,-250.1374,-43.6794,-54.3588
0.6121,0.0222,0.4661,-250.1374,-43.1527,-50.229
0.6169,0.0166,0.4927,-250.1374,-42.7481,-46.2748
0.6284,0.0144,0.519,-247.9924,-43.145,-42.1603
0.6421,0.0122,0.5247,-244.4504,-43.3588,-38.2137
0.6526,0.0093,0.5413,-240.8244,-43.8015,-34.687
0.679,-0.0042,0.5493,-236.8855,-43.7786,-30.9466
0.7034,0.0017,0.5496,-233.4427,-43.6183,-27.3817
0.7307,-0.0022,0.5669,-230.2977,-43.3282,-24.2748
0.7561,-0.0027,0.5808,-227.2824,-42.7939,-21.8244
0.7903,0.0042,0.5925,-224.2748,-42.1908,-19.4504
0.8191,-0.0056,0.6169,-221.9466,-41.3817,-17.458
0.8503,-0.0085,0.6389,-219.4657,-40.9237,-16.3817
0.8811,-0.022,0.675,-217.2748,-40.2977,-15.3664
0.8923,-0.0261,0.6738,-215.5191,-39.6107,-14.9542
0.9202,-0.032,0.7068,-213.5573,-39.2977,-14.9771
0.9453,-0.0425,0.7314,-211.8397,-38.9847,-15.7252
0.9702,-0.0603,0.7527,-209.8092,-38.6718,-16.9237
0.9858,-0.0649,0.7925,-207.5191,-38.374,-18.3817
1.0117,-0.0645,0.8137,-205.3512,-37.8397,-20.1603
1.0242,-0.0691,0.8406,-202.7939,-36.5267,-21.9924
1.0461,-0.073,0.8708,-199.8626,-34.3511,-24.3664
1.0449,-0.0876,0.8752,-197.0763,-31.6947,-26.8473
1.05,-0.0981,0.8977,-193.5267,-27.5573,-29.5802
