ax,ay,az,gx,gy,gz
1.2966,-0.0869,-0.6445,55.2519,-85.9771,12.9695
1.3135,-0.0908,-0.6692,55.2366,-85.1298,12.8626
1.3279,-0.083,-0.6909,55.855,-83.6412,12.6565
1.3442,-0.0818,-0.7317,55.6031,-81.1603,12.6107
1.3643,-0.0962,-0.7566,55.4733,-78.5191,12.145
1.3853,-0.0942,-0.7937,55.2977,-75.2748,11.8168
1.4063,-0.1091,-0.8306,55.1832,-71.5954,11.3893
1.4207,-0.1128,-0.8503,54.855,-68.3359,11.0305
1.4395,-0.1284,-0.8931,54.4046,-65.0153,10.4427
1.4548,-0.1304,-0.9172,53.8321,-61.4504,9.7328
1.4739,-0.135,-0.9404,53.313,-58.6336,9.0382
1.4834,-0.1406,-0.9463,52.5496,-55.6565,8.2901
1.4988,-0.1416,-0.9736,51.6412,-53.0153,7.1908
1.5183,-0.1501,-1.0017,50.5802,-50.7252,6.0458
1.5403,-0.1606,-1.0303,49.7099,-48.4046,4.7786
1.552,-0.1597,-1.05,48.1756,-46.6489,3.4809
1.5774,-0.1628,-1.0769,46.7786,-45.0229,2.0076
1.5916,-0.1655,-1.1138,45.1527,-43.3282,-0.3664
1.6108,-0.1658,-1.1306,43.5267,-41.6336,-2.5496
1.6223,-0.1594,-1.1418,41.687,-40.0153,-5.0534
1.6348,-0.1521,-1.1624,39.542,-38.5802,-7.7176
1.6497,-0.1499,-1.1831,37.1603,-37.2595,-10.5878
1.6621,-0.1455,-1.22,34.4504,-36.7405,-13.5802
1.6765,-0.146,-1.2505,31.5649,-35.5344,-16.9389
1.6753,-0.1399,-1.2925,27.9771,-34.0992,-20.2214
1.6926,-0.1306,-1.3218,23.916,-32.0,-23.5954
1.697,-0.1208,-1.3535,19.771,-29.374,-27.1069
1.6948,-0.104,-1.3677,15.4656,-26.9237,-30.0076
1.6968,-0.0898,-1.396,10.0916,-23.8855,-33.8855
1.686,-0.0879,-1.4277,4.7099,-20.6641,-37.4427
1.6743,-0.0935,-1.4514,-0.6412,-17.8321,-40.6718
1.6631,-0.0815,-1.4714,-6.7328,-15.2672,-43.6336
1.6414,-0.0679,-1.4844,-13.229,-13.5038,-46.6412
1.6292,-0.0554,-1.4878,-19.3817,-12.1298,-48.9924
1.6165,-0.0476,-1.5063,-26.3588,-10.8626,-51.6107
1.5969,-0.0466,-1.5112,-33.5725,-10.2214,-53.9084
1.5923,-0.0457,-1.5276,-39.8931,-9.7252,-55.7939
1.5693,-0.0476,-1.5366,-47.8168,-9.542,-57.5496
1.5552,-0.0505,-1.5322,-54.7863,-9.6031,-59.8092
1.5313,-0.043,-1.5459,-62.1374,-9.9389,-61.6031
1.5256,-0.0347,-1.5469,-69.4809,-10.1985,-63.4046
1.5098,-0.0386,-1.5547,-76.7176,-10.5496,-65.2824
1.4946,-0.0259,-1.5586,-84.2977,-10.7863,-66.8855
1.481,-0.0215,-1.5552,-91.8244,-10.7557,-68.4275
1.469,-0.0144,-1.5437,-99.3359,-11.1374,-70.1679
1.4634,-0.0166,-1.5452,-106.6565,-11.3588,-71.916
1.447,-0.0232,-1.5371,-113.8015,-12.084,-73.7405
1.4333,-0.0205,-1.5266,-121.4504,-12.7176,-75.3206
1.4253,-0.0227,-1.5227,-130.0611,-13.0687,-77.2672
1.4124,-0.0298,-1.511,-137.9084,-13.9695,-78.8779
1.3994,-0.0337,-1.49,-145.5878,-14.6412,-80.2672
1.3987,-0.0295,-1.4875,-152.5267,-15.3969,-81.916
1.387,-0.0371,-1.4702,-159.8931,-15.7023,-83.4809
1.3865,-0.0405,-1.4785,-166.4122,-15.6412,-84.8168
1.3806,-0.0471,-1.47,-173.458,-15.0611,-86.8779
