ax,ay,az,gx,gy,gz
1.3984,0.0959,-0.2551,7.8168,10.8321,-35.542
1.4111,0.094,-0.2534,7.9771,10.8702,-38.7786
1.4207,0.0789,-0.249,8.0458,11.5802,-42.0382
1.4456,0.0693,-0.2488,7.8702,12.7023,-45.5267
1.4592,0.0618,-0.2485,8.1527,14.0382,-49.4885
1.4792,0.0544,-0.2397,8.6794,15.6641,-53.5344
1.501,0.0535,-0.2349,8.9924,17.2595,-57.8321
1.5232,0.0476,-0.2258,9.2977,18.771,-62.3969
1.5437,0.042,-0.2249,10.0458,20.2214,-67.1679
1.5569,0.0427,-0.2131,10.4733,21.5267,-71.687
1.5735,0.0371,-0.2058,10.9466,22.4046,-76.1679
1.5884,0.0325,-0.1912,11.3893,22.8779,-81.0
1.6162,0.0337,-0.1963,11.8855,22.8397,-85.9008
1.6362,0.0283,-0.1851,12.1374,22.7634,-89.8779
1.6553,0.0364,-0.1785,12.2214,22.6031,-95.1832
1.6714,0.0366,-0.1799,12.6947,22.7099,-99.0458
1.6924,0.0283,-0.1938,12.9466,23.1985,-104.3435
1.7056,0.0161,-0.1912,13.1145,23.8321,-109.2137
1.7329,0.0149,-0.1885,13.4046,25.3588,-114.3511
1.7642,0.0002,-0.199,13.4427,27.2137,-119.145
1.8074,-0.0166,-0.1851,13.3893,29.0076,-124.2137
1.8342,-0.0298,-0.1824,13.6412,30.8168,-129.7939
1.8743,-0.0332,-0.1794,13.3664,32.7939,-135.3512
1.9138,-0.0356,-0.1699,13.4885,33.8702,-141.0076
1.9453,-0.0452,-0.1602,13.2214,34.2061,-146.8626
1.9609,-0.0471,-0.1384,13.2672,33.5038,-152.4122
1.9919,-0.0496,-0.1138,13.313,31.0305,-158.8779
1.9999,-0.0427,-0.0977,13.4809,27.9389,-164.5267
1.9999,-0.0256,-0.0862,13.7786,24.7557,-170.5878
1.9999,-0.0217,-0.0889,14.2824,21.6794,-175.9924
1.9999,-0.0142,-0.0955,14.7023,18.9313,-181.6107
1.9999,-0.0044,-0.0991,15.3664,16.0076,-187.3664
1.9999,-0.0095,-0.0991,15.9389,13.1145,-192.916
1.9999,-0.0029,-0.082,16.7099,9.9466,-198.4657
1.9999,0.0027,-0.084,17.4504,6.3282,-204.374
1.9999,-0.0022,-0.0684,18.2443,2.7557,-210.1603
1.9999,0.001,-0.0652,19.1603,-0.7939,-216.3206
1.9999,0.002,-0.0464,19.7634,-4.4122,-222.4962
1.9999,0.0042,-0.0449,20.7405,-8.687,-229.1145
1.9999,0.0095,-0.0496,21.8626,-12.7328,-236.0305
1.9999,0.0061,-0.0452,22.8321,-16.6107,-243.1603
1.9999,0.0105,-0.0542,23.7328,-20.1756,-250.1374
1.9999,0.0171,-0.0522,24.855,-22.9771,-250.1374
1.9999,0.0159,-0.0762,25.8473,-24.9924,-250.1374
1.9999,0.0164,-0.0825,27.2443,-26.3359,-250.1374
1.9999,0.0273,-0.0911,28.4809,-26.8244,-250.1374
1.9607,0.0308,-0.0959,29.7481,-26.7786,-250.1374
1.9253,0.0398,-0.0999,31.1603,-26.3206,-250.1374
1.885,0.0476,-0.1096,32.4427,-25.4275,-250.1374
1.8525,0.0525,-0.1082,33.7634,-24.2214,-250.1374
1.8406,0.0623,-0.0942,34.9313,-22.8397,-250.1374
1.8037,0.0718,-0.094,36.5725,-21.5954,-250.1374
1.77,0.0959,-0.0784,37.7328,-20.084,-250.1374
1.73,0.1133,-0.0601,39.0534,-18.2061,-250.1374
1.7051,0.1335,-0.0562,40.8092,-15.8855,-250.1374
1.6753,0.1443,-0.0371,42.3969,-13.8626,-250.1374
1.6506,0.1682,-0.0227,44.4504,-11.9618,-250.1374
1.6418,0.1711,-0.0103,46.542,-9.7939,-250.1374
1.6289,0.1895,0.0178,49.3893,-7.0382,-250.1374
1.6248,0.1951,0.0381,51.7939,-5.0229,-250.1374
1.6204,0.2017,0.0613,54.7099,-3.1756,-250.1374
1.6279,0.2095,0.0957,57.6641,-1.1221,-250.1374
1.635,0.2219,0.1133,60.916,0.0611,-250.1374
1.6404,0.217,0.124,64.5802,1.2824,-250.1374
1.6523,0.2244,0.1433,67.9847,2.0382,-250.1374
1.6531,0.2166,0.1692,71.5496,1.4351,-250.1374
1.6584,0.2144,0.1887,75.4198,0.1756,-250.1374
1.6575,0.2029,0.2004,79.5038,-1.7405,-250.1374
1.6492,0.1926,0.197,83.1069,-4.1145,-250.1374
1.6516,0.1843,0.196,86.8779,-6.9771,-250.1374
1.6277,0.1775,0.1875,90.0534,-10.2824,-250.1374
1.6235,0.1809,0.1748,93.1985,-14.6641,-250.1374
1.6013,0.1868,0.1523,95.5954,-18.3817,-250.1374
1.5781,0.1858,0.1321,97.5343,-22.0687,-250.1374
1.5574,0.1816,0.1221,99.1069,-25.5573,-250.1374
1.5212,0.1807,0.1055,100.3817,-29.5878,-250.1374
1.4932,0.1736,0.104,101.2061,-33.8855,-250.1374
1.4644,0.1648,0.0894,101.7939,-38.0687,-250.1374
1.4226,0.1572,0.0786,102.6031,-42.6412,-250.1374
1.4043,0.1572,0.0747,102.7557,-46.6336,-250.1374
1.3499,0.1436,0.071,102.6412,-51.7099,-250.1374
1.3015,0.1382,0.064,103.1679,-56.3359,-250.1374
1.2505,0.1348,0.0449,103.1756,-60.8015,-250.1374
1.1904,0.1277,0.0308,103.0305,-65.6565,-250.1374
1.1365,0.1313,0.0078,102.4351,-70.5649,-250.1374
1.074,0.1396,-0.01,102.1221,-75.0458,-250.1374
1.0098,0.1438,-0.0249,101.8779,-79.7939,-250.1374
0.9387,0.1523,-0.0515,100.9618,-84.458,-250.1374
0.9084,0.1626,-0.0583,100.0687,-89.5267,-250.1374
0.8345,0.1694,-0.0732,98.9847,-92.7328,-250.1374
0.7588,0.1743,-0.0974,97.7634,-96.2061,-250.1374
0.6846,0.186,-0.1021,96.374,-101.7405,-250.1374
0.6045,0.1936,-0.1355,95.2061,-104.1756,-250.1374
0.5376,0.1992,-0.1804,94.1221,-105.6031,-250.1374
0.469,0.2073,-0.2063,93.0,-105.8702,-250.1374
0.405,0.2256,-0.2275,92.1145,-105.2137,-250.1374
0.3691,0.2375,-0.238,91.0687,-104.0763,-250.1374
0.2939,0.2441,-0.2502,90.1069,-101.9008,-250.1374
0.229,0.2598,-0.2551,89.1679,-99.8092,-250.1374
0.155,0.2603,-0.2603,88.5343,-96.8473,-250.1374
0.1018,0.2732,-0.2834,87.8779,-92.2519,-250.1374
0.051,0.2861,-0.3015,87.7176,-91.1298,-250.1374
0.0049,0.2959,-0.3076,87.3511,-85.2595,-250.1374
-0.0283,0.2988,-0.334,87.2748,-78.7557,-250.1374
-0.0413,0.3091,-0.345,87.6565,-72.4809,-250.1374
-0.0637,0.3108,-0.3547,87.8626,-64.8397,-250.1374
-0.0889,0.3125,-0.3591,88.4657,-57.9389,-250.1374
-0.1006,0.3215,-0.3489,88.4809,-51.5878,-250.1374
-0.1289,0.3345,-0.3364,88.4809,-44.542,-250.1374
-0.1602,0.3499,-0.3525,88.9542,-38.626,-250.1374
-0.1724,0.3521,-0.3403,89.3664,-34.1374,-250.1374
-0.1831,0.3662,-0.3496,89.7405,-29.4046,-250.1374
-0.2073,0.3767,-0.374,90.2977,-24.5878,-250.1374
-0.2205,0.3789,-0.3911,90.7023,-20.0687,-250.1374
-0.2339,0.3833,-0.4019,91.5802,-15.8626,-250.1374
-0.2563,0.3904,-0.408,92.084,-12.3282,-250.1374
-0.2817,0.3799,-0.4099,92.6336,-8.9084,-250.1374
-0.3115,0.3745,-0.4231,92.9466,-5.9466,-250.1374
-0.3347,0.3779,-0.4348,92.7863,-3.2137,-250.1374
-0.3433,0.3823,-0.4514,92.6107,-0.6947,-250.1374
-0.3625,0.3821,-0.47,92.1145,1.6412,-250.1374
-0.3857,0.3789,-0.4897,91.5649,3.9237,-250.1374
-0.3984,0.3828,-0.5144,90.855,5.916,-250.1374
-0.4194,0.3901,-0.53,89.8473,7.5725,-250.1374
