ax,ay,az,gx,gy,gz
1.4548,-0.1792,-0.0635,10.1069,18.7557,-30.0611
1.4954,-0.1914,-0.0396,11.0687,20.9618,-32.6641
1.5308,-0.1965,-0.0232,12.1374,22.5191,-35.2443
1.5798,-0.2017,-0.0042,12.916,23.4275,-38.0763
1.6213,-0.2114,-0.0034,14.1832,23.458,-41.3282
1.6604,-0.2148,0.0066,15.626,23.5267,-44.4504
1.6824,-0.2148,0.0139,16.6641,23.0382,-48.0229
1.7188,-0.2187,0.0022,18.1374,22.5878,-51.626
1.7402,-0.2358,-0.001,19.5267,21.3969,-55.6412
1.7725,-0.2544,-0.0029,20.3969,20.1985,-60.1221
1.8057,-0.2751,-0.0024,21.313,19.1145,-64.8931
1.8179,-0.2817,-0.0081,22.3664,17.8702,-70.2061
1.834,-0.2886,-0.0134,22.4886,16.0916,-75.374
1.844,-0.2935,-0.0217,22.6947,13.9771,-80.7023
1.8511,-0.29,-0.0432,22.6947,11.9237,-86.3511
1.8528,-0.2886,-0.0505,22.3053,9.855,-91.2443
1.8491,-0.28,-0.0645,21.7099,8.0153,-96.8626
1.8535,-0.2751,-0.084,21.2061,6.6336,-102.2672
1.8521,-0.2629,-0.0991,20.1603,5.6565,-108.1908
1.8464,-0.2612,-0.0911,19.313,4.6947,-113.8168
1.845,-0.2637,-0.0916,18.3282,4.0916,-119.2595
1.8428,-0.2668,-0.082,17.2901,3.7176,-124.4504
1.8342,-0.2595,-0.0652,16.626,3.0382,-129.5878
1.8362,-0.2593,-0.0613,16.0534,2.5496,-135.0534
1.8235,-0.2644,-0.0505,15.5191,2.2748,-139.4427
1.8267,-0.2576,-0.032,15.4809,1.7405,-144.2748
1.824,-0.2527,-0.0186,15.6794,1.2595,-149.0076
1.8132,-0.2534,-0.0088,16.229,1.1985,-153.2824
1.8074,-0.2544,0.0063,16.626,0.7099,-157.4809
1.804,-0.2524,0.0146,17.7405,0.9313,-161.9924
1.7942,-0.2524,0.0208,18.9389,1.1145,-166.0763
